key,value,definition
*-tip/pista,guagua,ALERTA:Si quiers buscar guagua usa bus
4wd_only,recommended,Nomás 4x4=recomendable
abandoned:amenity,prison,albandonau: amenidad/servizio = prisión
abandoned:amenity,prison_camp,albandonau: amenidad/servizio = campo de prisioneros
abandoned:highway,path,albandonau:rota=de carretera
abandoned:highway,track,albandonau:carretera = pista
abandoned:landuse,landfill,albandonau: uso d'a tierra = vertedero
abandoned:landuse,quarry,albandonau: uso d'a tierra = pedrera
abandoned:man_made,petroleum_well,albandonau:feito por l'ombre = puzo_de_petroleo
abandoned:man_made,pipeline,albandonada:ombre_a/a=cañería feita
abandoned:place,hamlet,albandonada:azeso=de
abandoned:railway,rail,albandonau:ferrocarril = carril
abandoned:railway,station,albandonau:ferrocarril = estazión
abutters,industrial,muga con = industrial
abutters,mixed,muga con = mezclau
abutters,residential,muga con = Residencial
abutters,retail,muga con = venda minorista
access,agricultural,azeso = agricola
access,bdouble,azeso = bdoble
access,customers,azeso = cliens
access,delivery,azeso = entrega
access,designated,azeso = designau
access,destination,azeso = destino
access,discouraged,azeso = desanimau
access,dismount,azeso = desmontar
access,employees,azeso = emplegaus
access,exclusion_zone,azeso = Zona d'exclusión
access,forestry,azeso = silvicultura
access,licence,azeso = lizenzia/lizenzía
access,license,azeso = lizenzia/lizenzía
access,military,villorio d'o puesto=control
access,no,azeso = no
access,official,azeso = ofizial
access,permissive,azeso = permisivo
access,permit,azeso = permiso
access,private,azeso = privau
access,public,azeso = publico
access,residents,azeso = residens
access,restricted,azeso = restrinchiu
access,students,azeso = estudians
access,unknown,azeso = esconoxiu
access,use_sidepath,azeso = usar camino lateral
access,variable,azeso = variable
access_control,full,de_azeso militar=control
access_control,partial,de_azeso pleno=parzial
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,azeso:ziudadanía = двухбуквенный код страны по ISO-3166-1
access:delivery,no,azeso:libramiento = no
access:roof,no,azeso: teito = no
accuracy,10,prezisión: metros = *
accuracy:meters,10,prezisión: metros = *
actuator,electric_motor,solenoide = motor electrico
actuator,hydraulic_cylinder,solenoide = Zilindro hidraulico
actuator,manual,solenoide = manual
actuator,pneumatic_cylinder,solenoide = zilindro pneumatico
addr:block,*,direzión: bloque = *
addr:block_number,1,direzión:numero_de_bloque = *
addr:block_number,2,addr:numero_de bloque=2
addr:block_number,3,addr:numero_de bloque=3
addr:block:en,Block 1,addr:bloque:en2=Bloque 1
addr:block:en,Block_1,direzión:bloque:ye = Bloque_1
addr:city,'s-Gravenhage,addr:a ziudat= ye-Gravenhage
addr:city,*,direzión:ziudat = *
addr:city:ar,الــوادي,addr:ziudat:ar=الــوادي
addr:city:de,Bozen,addr:ziudat:de=Bozen
addr:city:en,10th of Rammadan City,addr:ziudat:en2=10o de Rammadan Ziudat
addr:city:en,October_Gardens_City,direzión:ziudat:ye = Octubre_Chardins_Ziudat
addr:city:it,Bolzano,direzión:ziudat:it = Bolzano
addr:city:simc,918123,addr:ziudat:simc=918123
addr:community,Nima,direzión:comunidat = nima
addr:conscriptionnumber,1,addr:conscriptionnumber=1
addr:conscriptionnumber,9,direzión: numero de conscripción = *
addr:country,*,direzión: país = *
addr:country,AE,addr:país=AE
addr:county,Stafford County,addr:condau=Stafford Condau
addr:county,Tuttlingen,direzión: condau = Tuttlingen
addr:county,Washington,addr:condau=Washington
addr:county,Washoe,addr:condau=Washoe
addr:district,*,direzión: distrito = *
addr:district,26 de Octubre,addr:distrito=26 d'Octubre
addr:district,龜山區,addr:distrito=龜山區
addr:district:en,Al Agouza,addr:distrito:en2=Al Agouza
addr:district:en,Western_Al_Omraneya,direzión:distrito:ye = Ozidental_A o/o_Omraneya
addr:division,Kawempe,direzión:división = Kawempe
addr:division,Rajshahi,addr:#reparto=Rajshahi
addr:flats,1-2,direzión: pisos = *
addr:flats,1-20,addr:pisos=1-20
addr:flats,1-3,addr:pisos=1-3
addr:flats,1-4,addr:pisos=1-4
addr:flats,A;B,addr:pisos=Un;B
addr:floor,0,addr:piso=0
addr:floor,Floor_1,direzión:piso = Piso_1
addr:floor,Floor_2,direzión:piso = Piso_2
addr:hamlet,*,direzión: lugarón = *
addr:hamlet,三和里,addr:villorio=三和里
addr:housenumber,0,addr:housenumber=0
addr:inclusion,actual,direzión: inclusión = autual
addr:inclusion,estimate,direzión: inclusión = estimar
addr:inclusion,potential,direzión: inclusión = potencial
addr:interpolation,all,direzión:interpolazión = toz
addr:interpolation,even,direzión:interpolazión = mesmo
addr:interpolation,odd,direzión:interpolazión = estraño
addr:municipality,Aabenraa,addr:munizipio=Aabenraa
addr:municipality,Vordingborg,direzión: munizipio = Vordingborg
addr:neighbourhood,1,addr:bario=1
addr:neighbourhood,*,direzión: bario = *
addr:place,*,direzión:puesto = *
addr:place,المجاورة 1,addr:puesto=المجاورة 1
addr:place:en,Area A,addr:puesto:en2=Aria Un
addr:postcode,100,addr:postcode=100
addr:postcode,*,direzión: codigo postal = *
addr:postcode,05-092,addr:postcode=05-092
addr:postcode:source,*,direzión: codigo postal: fuen = *
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:Zita=de fuen d'a Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 a http://date.gov.ro/organization/posta-romana"
addr:province,*,direzión: provinzia = *
addr:province,AB,addr:provinzia=AB
addr:province:en,*,direzión:provinzia:ye = *
addr:province:en,Al Beheira,addr:provinzia:en2=Al Beheira
addr:region,*,direzión: rechión = *
addr:region,Farg'ona Viloyati,addr:rechión=Farg'ona Viloyati
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:fuen=Gatineau.ca/donneesouvertes 08Aug2015
addr:source,NRW-Atlas,addr:fuen=NRW-Atlas
addr:state,*,direzión: estau = *
addr:state,AK,addr:estatal=AK
addr:street,*,"nodo de direzión: nombre d'a carrera , avenida , rambla , gambada , bulevard , pasache , callizo : nombre d'a carrera= *"
addr:street:en,Omar Ibn Al Khatab Street,addr:carrera:en2=Omar Ibn Al Khatab Calle
addr:street:en,Street 1,addr:carrera:en2=Calle 1
addr:street:en,Street 2,addr:carrera:en2=Calle 2
addr:street:en,Street 3,addr:carrera:en2=Calle 3
addr:street:prefix,East,addr:carrera:Iste=de prefixo
addr:street:prefix,North,addr:carrera:o prefixo=D'o norte
addr:street:prefix,South,addr:carrera:o prefixo=D'o sur
addr:street:prefix,West,addr:carrera:o prefixo=D'o ueste
addr:street:sym_ul,10898,addr:carrera:sym_ul=10898
addr:street:sym_ul,21970,direzión:carrera:sym_ul = *
addr:street:type,Avenue,direzión:carrera:tipo = Avenida
addr:street:type,Place,addr:carrera:Puesto=de tipo
addr:street:type,Street,addr:carrera:Calle=de tipo
addr:streetnumber,1,addr:streetnumber=1
addr:streetnumber,9,direzión:numero de carrera = *
addr:streetnumber,10,addr:streetnumber=10
addr:subdistrict,*,direzión:subdistrito = *
addr:subdistrict,Olaines pagasts,addr:subdistrict=Olaines pagasts
addr:subdistrict:en,*,dir:subdistrito:ye = *
addr:subdistrict:en,Al Agamy,addr:subdistrict:en2=Al Agamy
addr:suburb,*,direzión:suburbio = *
addr:suburb,Centro,addr:suburbio=Zentro
addr:town,*,direzión: ziudat = *
addr:TW:dataset,120044,addr:TW:dataset=120044
addr:TW:dataset,137998,direzión:TW:conchunto de datos = *
addr:type,water,direzión: tipo = amera
addr:unit,1,addr:unidat=1
addr:unit,*,direzión: unidat = *
addr:unit,A,addr:unidat=Un
addr:village,Gumare,direzión:lugar = Gumaré
addr:ward,Mbagala,direzión: sala = Mbagala
addr:ward,Mbagala kuu,addr:ward=Mbagala kuu
addr:ward,Mbagala_kuu,direzión: sala = Mbagala_kuu
addr.source:housenumber,survey,addr.source:numero de casa = encuesta
addr.source:street,survey,direzión.fuen:calle = encuesta
admin_level,1,libel d'administrador = *
admin_level,2,admin_libel=2
admin_level,aboriginal_land,libel d'administrador = tierra aborigen
admin_type:PH,barangay,admin_tipo:PH=barangay
advertising,billboard,publizidat = cartelera
advertising,board,publizidat = chunta
advertising,column,publizidat = columna
advertising,flag,publizidat = bandera
advertising,funding_sign,publizidat = siñal de finanziamiento
advertising,poster_box,publizidat = poster_box
advertising,screen,publizidat = pantalla
advertising,sculpture,publizidat = escultura
advertising,sign,publizidat = siñal
advertising,tarp,publizidat = lona
advertising,totem,publizidat = tótem
advertising,wall_painting,publizidat = pintura mural
aerialway,cable_car,vía aeria = Teleférico
aerialway,canopy,vía aeria = pabellón
aerialway,chair_lift,vía aeria = telesiella
aerialway,drag_lift,vía aeria = aszensor d'arroziegue
aerialway,gondola,vía aeria = góndola
aerialway,goods,vía aeria = biens
aerialway,j-bar,vía aeria = j-escobe
aerialway,magic_carpet,vía aeria = alfombra machica
aerialway,mixed_lift,vía aeria = levantamiento mixto
aerialway,platter,vía aeria = plato
aerialway,pylon,vía aeria = pilón
aerialway,rope_tow,vía aeria = remolque de cuerda
aerialway,ropetow,vía aeria = remolque de cuerda
aerialway,station,vía aeria = estazión
aerialway,t-bar,vía aeria = barra en T
aerialway,zip_line,vía aeria = tirolesa
aerialway:drag_lift,j-bar,vía aeria: elevador d'arroziegue = j-escobe
aerialway:drag_lift,platter,vía aeria: elevador d'arroziegue = plato
aerialway:drag_lift,t-bar,vía aeria: elevador d'arroziegue = escobe en T
aerodrome:type,airfield,aerodromo:tipo = aerodromo
aerodrome:type,gliding,aerodromo:tipo = eslizando-se
aerodrome:type,international,aerodromo:tipo = internazional
aerodrome:type,military,aerodromo:tipo = militar
aerodrome:type,private,aerodromo:tipo = privau
aerodrome:type,regional,aerodromo:tipo = rechional
aerospace:product,robot,aeroespazial: producto = robot
aerospace:product,rocket,aeroespazial: producto = codete
aerospace:product,spacecraft_propulsion,aeroespazial: producto = propulsión de nau espazials
aeroway,aerodrome,vía aeria = aerodromo
aeroway,aircraft_crossing,vía aeria = cruze d'avions
aeroway,airport,vía aeria = aeropuerto
aeroway,airstrip,vía aeria = pista d'aterrizada
aeroway,airtanker_base,vía aeria = base d'avión zisterna
aeroway,apron,vía aeria = mandarra
aeroway,arresting_gear,vía aeria = equipo d'arresto
aeroway,fuel,vía aeria = combustible
aeroway,gate,vía aeria = portalada
aeroway,gate/Archived_proposal,vía aeria = puerta/proponida archivada
aeroway,hangar,vía aeria = hangar
aeroway,helipad,vía aeria = helipuerto
aeroway,heliport,vía aeria = helipuerto
aeroway,highway_strip,vía aeria = randa de carretera
aeroway,holding_position,vía aeria = holding_position
aeroway,holding_position_line,vía aeria = linia de posizión d'aspera
aeroway,jet_bridge,vía aeria = puen de churro
aeroway,landingpad,vía aeria = pista d'aterrizada
aeroway,launch_complex,vía aeria = complexo de lanzamiento
aeroway,launchpad,vía aeria = plataforma de lanzamiento
aeroway,marking,vía aeria = calificazión
aeroway,navigationaid,vía aeria = Aduya a la navegazión
aeroway,papi,vía aeria = papi
aeroway,parking_position,vía aeria = estazionamiento_posizión
aeroway,runway,vía aeria = pista
aeroway,spaceport,vía aeria = puerto espazial
aeroway,stopway,vía aeria = parada
aeroway,taxilane,vía aeria = Carril de Taxi
aeroway,taxiway,vía aeria = carrera de rodache
aeroway,terminal,vía aeria = Terminal
aeroway,tower,vía aeria = torre
aeroway,windsock,vía aeria = manga d'aire
age,mature,años = maturo
age,semi-mature,años = semi-maturo
age,young,años = choven
agricultural,no,agricola = no
air_conditioning,no,aireya_condizionar=garra
airmark,beacon,marca aeria = Faro
ale_supply,limited,suministro de biera = limitau
allotments,plot,asignazions = grafico
alt_name,Kentucky Fried Chicken,alt_Kentucky=de nombre Freyió aria
amenity,administration,amenidad/servizio = alministrazión
amenity,advertising,amenidad/servizio = publizidat
amenity,air_filling,amenidad/servizio = empliu d'aire
amenity,alm,amenidad/servizio = almosna
