key,value,definition
road_marking,no,=
road_marking,yes,=
bulk_purchase,yes,a granel = sí
abandoned,yes,Abandonau = sí
abandoned:building,yes,Albandonau:edifizio = sí
dennert_fir_tree,yes,abet dennert = si
access,no,azeso = no
access,yes,azeso = sí
internet_access,no,azeso a Internet = no
internet_access,yes,azeso a Internet = sí
access:roof,no,azeso: teito = no
access:delivery,no,azeso:libramiento = no
sidewalk,no,fazera = no
sidewalk:right,no,fazera: dreita = no
sidewalk:left,no,fazera: zurda = no
overtaking,no,abanzamiento = no
overtaking,yes,abanzamiento = sí
managed,no,administrau = no
managed,yes,administrau = si
agricultural,no,agricola = no
agricultural,yes,agricola = sí
water,yes,augua = si
drinking_water,no,augua potable = no
drinking_water,yes,augua potable = sí
manhole,yes,forau d'ombre = sí
air_conditioning,yes,aire acondizionau = sí
compressed_air,yes,aire comprimiu = sí
segregated,no,aislau = no
segregated,yes,aislau = sí
highspeed,no,alta velozidat = no
highspeed,yes,alta velozidat = sí
mooring,yes,amarradero = sí
narrow,yes,angosto = sí
animated,no,animau = no
anthropogenic,yes,antropogénico = si
trees,yes,arbols = si
area,no,aria = no
area,yes,aria = sí
razed:building,yes,arrasau: edifizio = sí
craft,yes,artesanía = si
man_made,yes,artifizial = sí
artist:unknown,yes,artista:esconoxiu = si
toilets:access,yes,aseyos:azeso = si
toilets:wheelchair,no,aseyos:silla de ruedas = no
toilets:wheelchair,yes,aseyos:silla de ruedas = sí
outdoor_seating,no,asientos a l'aire libre = no
outdoor_seating,yes,asientos a l'aire libre = sí
indoor_seating,yes,asientos_interiors = sí
authentication:membership_card,yes,autenticazión: tarcheta_de_miembro = sí
car,no,auto = no
car,yes,auto = si
bus,no,autobús = no
bus,yes,autobús sí guagua sí
automated,yes,automatizau = si
motorcar,no,automobil = no
motorcar,yes,automobil = sí
expressway,no,Autopista = no
highway,no,autopista = no
highway,yes,autopista = si
expressway,yes,Autopista = sí
authoritative,yes,autoritario = sí
self_service,no,autoservizio = no
self_service,yes,autoservizio = sí
dual_carriageway,no,autovía = no
dual_carriageway,yes,autovía = sí
on_demand,yes,Baixo demanda = si
toilets,no,baños = no
toilets,yes,baños = sí
toilets:handwashing,no,baños: lavau de manos = no
bbq,yes,barbacoa = si
fallow,yes,uebra = si
boat,no,barco = no
boat,yes,barco = sí
boat:rental,yes,barco: loguero = si
barrier,no,barracala = no
barrier,yes,barracala = sí
bdouble,yes,bdoble = sí
drink:viez,yes,bebida: viez = si
bicycle,no,bizicleta = no
bicycle,yes,bizicleta = sí
mtb,no,bizicleta de montaña = no
mtb,yes,bizicleta de montaña = sí
bicycle_road,yes,bizicleta_carretera = sí
goods,no,biens = no
goods,yes,biens = sí
tickets:public_transport_subscription,yes,billetes: femo transporte publico = si
biosphärenwirt,yes,biosphärenwirt = si
lockable,no,bloqueable = no
locked,no,bloquiau = no
locked,yes,bloquiau = sí
windings:auto,yes,bobinados: automatico = si
pump,no,bomba = no
pump,yes,bomba = sí
bottle,yes,botella = sí
button_operated,no,botón_operau = no
button_operated,yes,botón_operau = sí
hearing_loop,yes,bucle auditivo = si
horse,no,caballo = no
horse,yes,caballo = sí
