key,value,definition
*-tip/pista,guagua,ALERTA:Si quies buscar guagua usa bus
4wd_only,recommended,Solo 4x4=recomendable
abandoned:amenity,prison,abandonáu: amenidad/servicio = prisión
abandoned:amenity,prison_camp,abandonáu: amenidad/serviciu = riolo de prisioneros
abandoned:highway,path,abandonáu:ruta=de carretera
abandoned:highway,track,abandonáu:carretera = pista
abandoned:landuse,landfill,abandonáu: usu de la tierra = vertideru
abandoned:landuse,quarry,abandonáu: usu de la tierra cantera
abandoned:man_made,petroleum_well,abandonáu:fechu pol home = pozu_de_petroleo
abandoned:man_made,pipeline,abandonada:home_la tubería fecha
abandoned:place,hamlet,abandonada:accesu=de
abandoned:railway,rail,abandonáu:ferrocarril = carril
abandoned:railway,station,abandonáu:ferrocarril = estación
abutters,industrial,colinda con = industrial
abutters,mixed,colinda con = entemecíu
abutters,residential,colinda con = Residencial
abutters,retail,colinda con = vienta minorista
access,agricultural,accesu = agrícola
access,bdouble,accesu = bdoble
access,customers,accesu = veceros
access,delivery,accesu = apurre
access,designated,accesu = designáu
access,destination,accesu = destino
access,discouraged,accesu = desanimáu
access,dismount,accesu = desmontar
access,employees,accesu = emplegaos
access,exclusion_zone,acceso = Zona d'esclusión
access,forestry,accesu = silvicultura
access,licence,accesu = llicencia
access,license,accesu = llicencia
access,military,villorio del sitio=control
access,no,accesu = non
access,official,accesu = oficial
access,permissive,accesu = permisivu
access,permit,accesu = permisu
access,private,accesu = priváu
access,public,accesu = públicu
access,residents,accesu = residentes
access,restricted,accesu = acutáu
access,students,accesu = estudiantes
access,unknown,accesu = desconocíu
access,use_sidepath,accesu = usar camín llateral
access,variable,accesu = variable
access_control,full,d'accesu militar=control
access_control,partial,d'accesu llenu=parcial
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,accesu:ciudadanía = двухбуквенный код страны по ISO-3166-1
access:delivery,no,accesu:entrega = non
access:roof,no,accesu: techu = non
accuracy,10,precisión: metros = *
accuracy:meters,10,precisión: metros = *
actuator,electric_motor,solenoide = motor eléctricu
actuator,hydraulic_cylinder,solenoide = Cilindru hidráulicu
actuator,manual,solenoide = manual
actuator,pneumatic_cylinder,solenoide = cilindru neumáticu
addr:block,*,dirección: bloque = *
addr:block_number,1,dirección:númberu_de_bloque = *
addr:block_number,2,addr:númberu_de bloque=2
addr:block_number,3,addr:númberu_de bloque=3
addr:block:en,Block 1,addr:bloque:en=Bloque 1
addr:block:en,Block_1,dirección:bloque:ye = Bloque_1
addr:city,'s-Gravenhage,addr:la ciudá= ye-Gravenhage
addr:city,*,dirección:ciudá = *
addr:city:ar,الــوادي,addr:ciudá:ar=الــوادي
addr:city:de,Bozen,addr:ciudá:de=Bozen
addr:city:en,10th of Rammadan City,addr:ciudá:en=10.º de Rammadan Ciudá
addr:city:en,October_Gardens_City,dirección:ciudá:ye = Octubre_Jardín_Ciudá
