key,value,definition
*-tip/pista,guagua,*-tip/pista=guagua
4wd_only,recommended,4wd_only=anbefales
abandoned:amenity,prison,forladt:facilitet=fængsel
abandoned:amenity,prison_camp,forladt:facilitet=fængselslejr
abandoned:highway,path,forladt:motorvej=sti
abandoned:highway,track,forladt:motorvej=spor
abandoned:landuse,landfill,forladt:landuse=losseplads
abandoned:landuse,quarry,forladt:landbrug=stenbrud
abandoned:man_made,petroleum_well,forladt: menneskeskabt = oliebrønd
abandoned:man_made,pipeline,forladt:menneskeskabt=rørledning
abandoned:place,hamlet,forladt:sted=landsby
abandoned:railway,rail,forladt:jernbane=skinne
abandoned:railway,station,forladt:jernbane=station
abutters,industrial,abutters=industriel
abutters,mixed,abutters=blandet
abutters,residential,abutters=beboelse
abutters,retail,abutters=detailhandel
access,agricultural,adgang=landbrug
access,bdouble,adgang=bdouble
access,customers,adgang=kunder
access,delivery,adgang=levering
access,designated,adgang=udpeget
access,destination,adgang=destination
access,discouraged,adgang = frarådes
access,dismount,adgang = afmontering
access,employees,adgang=medarbejdere
access,exclusion_zone,adgang=udelukkelseszone
access,forestry,adgang=skovbrug
access,licence,adgang=licens
access,license,adgang=licens
access,military,adgang=militær
access,no,adgang=nej
access,official,adgang=officiel
access,permissive,adgang = tilladende
access,permit,adgang=tilladelse
access,private,adgang=privat
access,public,adgang=offentlig
access,residents,adgang=beboere
access,restricted,adgang=begrænset
access,students,adgang=studerende
access,unknown,adgang=ukendt
access,use_sidepath,adgang=brug_sidesti
access,variable,adgang=variabel
access_control,full,adgangskontrol=fuld
access_control,partial,adgangskontrol=delvis
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,adgang:statsborgerskab=dвухбуквенный_код_страны_по_ISO-3166-1
access:delivery,no,adgang:levering=nej
access:roof,no,adgang:tag=nej
accuracy,10,nøjagtighed=10
accuracy:meters,10,nøjagtighed: meter = 10
accuracy:meters,21,nøjagtighed: meter=21
accuracy:meters,22,nøjagtighed: meter=22
accuracy:meters,25,nøjagtighed: meter = 25
accuracy:meters,26,nøjagtighed: meter=26
actuator,electric_motor,aktuator=elektrisk_motor
actuator,hydraulic_cylinder,aktuator=hydraulisk_cylinder
actuator,manual,aktuator=manuel
actuator,pneumatic_cylinder,aktuator=pneumatisk_cylinder
addr:block,*,adresse:blok=*
addr:block_number,1,adresse:bloknummer=1
addr:block_number,2,adresse:bloknummer=2
addr:block_number,3,adresse:bloknummer=3
addr:block:en,Block 1,adr:block:en=Blok 1
addr:block:en,Block␣1,adr:block:en=Blok ␣ 1
addr:city,'s-Gravenhage,adr:by='s-Gravenhage
addr:city,*,adresse:by=*
addr:city:ar,الــوادي,addr:by:ar= الــوادي
addr:city:de,Bozen,adr:by:de=Bozen
addr:city:en,10th of Rammadan City,addr:city:da=10. af Rammadan City
addr:city:en,October␣Gardens␣City,addr:city:da=Oktober ␣ Haver ␣ By
addr:city:it,Bolzano,adr:by:it=Bolzano
addr:city:simc,918123,adresse:by:simc=918123
addr:community,Nima,adr:community=Nima
addr:conscriptionnumber,1,adr:værnepligtsnummer=1
addr:conscriptionnumber,9,adr:værnepligtsnummer=9
addr:country,*,adresse:land=*
addr:country,AE,adresse:land=AE
addr:county,Stafford County,adr:amt=Stafford County
addr:county,Tuttlingen,adr:amt=Tuttlingen
addr:county,Washington,adr:amt=Washington
addr:county,Washoe,adr:amt=Washoe
addr:district,*,adresse:distrikt=*
addr:district,26 de Octubre,adr:distrikt=26. oktober
addr:district,龜山區,addr:district=龜山區
addr:district:en,Al Agouza,adr:distrikt:da=Al Agouza
addr:district:en,Western␣Al␣Omraneya,addr:district:da=Western ␣ Al ␣ Omraneya
addr:division,Kawempe,adr:division=Kawempe
addr:division,Rajshahi,adr:division=Rajshahi
addr:flats,1-2,adr:lejligheder=1-2
addr:flats,1-20,adr:lejligheder=1-20
addr:flats,1-3,adr:lejligheder=1-3
addr:flats,1-4,adr:lejligheder=1-4
addr:flats,A;B,adr:lejligheder=A;B
addr:floor,0,adresse:etage=0
addr:floor,Floor␣1,adr:gulv=Etage ␣ 1
addr:floor,Floor␣2,adr:etage=Etage ␣ 2
addr:hamlet,*,adresse:hamlet=*
addr:hamlet,三和里,addr:hamlet=三和里
addr:housenumber,0,adresse:husnummer=0
addr:inclusion,actual,adr:inkludering=faktisk
addr:inclusion,estimate,addr:inkludering=estimat
addr:inclusion,potential,adr:inkludering=potentiale
addr:interpolation,all,adr:interpolation=all
addr:interpolation,even,adr:interpolation=lige
addr:interpolation,odd,adr:interpolation=ulige
addr:municipality,Aabenraa,adr:kommune=Aabenraa
addr:municipality,Vordingborg,adresse:kommune=Vordingborg
addr:neighbourhood,1,adresse:nabolag=1
addr:neighbourhood,*,adresse:nabolag=*
addr:place,*,adresse:sted=*
addr:place,المجاورة 1,addr:place= المجاورة 1
addr:place:en,Area A,adr:place:da=Område A
addr:postcode,100,adresse:postnummer=100
addr:postcode,*,adresse:postnummer=*
addr:postcode,05-092,adresse:postnummer=05-092
addr:postcode:source,*,adresse:postnummer:kilde=*
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:source=Date de la Poșta Română, offentliggør underlicens til Guvernare Deschisă v1.0 på http://date.gov.ro/organization/posta-romana"
addr:province,*,adresse:provins=*
addr:province,AB,adresse:provins=AB
addr:province:en,*,adresse:provins:en=*
addr:province:en,Al Beheira,adr:provins:en=Al Beheira
addr:region,*,adr:region=*
addr:region,Farg'ona Viloyati,adr:region=Farg'ona Viloyati
