key,value,definition
4wd_only,yes,4wd_only=ja
abandoned:building,yes,forladt:bygning =ja
abandoned,yes,forladt = ja
access:delivery,no,adgang:levering = nej
access:roof,no,adgang:tag =nej
access,no,adgang = nej
access,yes,adgang = ja
addr:contact,yes,adresse:kontakt =ja
addr:nostreet,yes,adr:ingengade =ja
agricultural,no,landbrug = nej
agricultural,yes,landbrug = ja
air_conditioning,no,aircondition = nej
air_conditioning,yes,aircondition = ja
animated,no,animeret = nej
area:highway,yes,område:motorvej =ja
area,no,område = nej
area,yes,område = ja
armrest,no,armlæn = nej
armrest,yes,armlæn = ja
atm,yes,hæveautomat=ja
authentication:app,yes,godkendelse:app = ja
authentication:contactless,yes,godkendelse: kontaktløs = ja
authentication:membership_card,yes,godkendelse:medlemskort = ja
authoritative,yes,autoritativ = ja
automated,no,automatiseret = nej
automated,yes,automatiseret = ja
backcountry,yes,vildmark = ja
backrest,no,ryglæn = nej
backrest,yes,ryglæn = ja
backup_generator,no,backup_generator = nej
bar,yes,bjælke=ja
barrier:keypad,yes,barriere:tastatur = ja
barrier,yes,barriere = ja
bdouble,yes,dobbelt = ja
bench,no,bænk = nej
bench,yes,bænk = ja
bicycle_road,yes,cykel_vej =ja
bicycle,no,cykel = nej
bicycle,yes,cykel = ja
bin,no,beholder = nej
bin,yes,bin = ja
boat,no,båd = nej
boat,yes,båd = ja
bottle,yes,flaske = ja
bridge,yes,bro=ja
building:fireproof,no,bygning: brandsikker = nej
building:fireproof,yes,bygning: brandsikker = ja
building:part,yes,bygning:del =ja
building:prefabricated,yes,bygning: præfabrikeret = ja
building:use:parking,yes,bygning:brug:parkering =ja
building:use:residential,yes,bygning:brug:bolig =ja
building,no,bygning = nej
building,yes,bygning = ja
bus,no,bus=nej
bus,yes,bus=ja
button_operated,no,knapbetjent = nej
button_operated,yes,knapbetjent = ja
canoe,no,kano = nej
canoe,yes,kano = ja
capacity:disabled,no,kapacitet: deaktiveret = nej
capacity:disabled,yes,kapacitet: deaktiveret = ja
capacity:parent,no,kapacitet:forælder = nej
capacity:women,no,kapacitet: kvinder = nej
caravans,no,campingvogne = nej
caravans,yes,campingvogne = ja
carriage,no,vogn = nej
cash_in,no,kontant_ind = nej
cash_in,yes,kontant_ind = ja
centre_turn_lane,yes,midterste_drejebane = ja
change:backward,no,ændring:baglæns = nej
change:forward,no,ændring:fremad = nej
change:lanes:backward,no,skift:baner:baglæns = nej
change:lanes:forward,no,skift:baner:fremad = nej
changing_table,no,skiftebord =nej
changing_table,yes,skiftebord = ja
club,yes,klub=ja
communication:lte,yes,kommunikation: lte = ja
communication:microwave,yes,kommunikation: mikrobølgeovn = ja
communication:mobile_phone,yes,kommunikation:mobiltelefon = ja
communication:radio,yes,kommunikation: radio = ja
complete,yes,fuldført=ja
compressed_air,yes,trykluft = ja
construction,yes,konstruktion = ja
conveying,yes,formidling = ja
cosmha,yes,cosmha = ja
covered,no,dækket = nej
covered,yes,dækket = ja
crossing:barrier,no,krydsning:barriere = nej
crossing:bell,no,krydsning:klokke =nej
crossing:bell,yes,krydsning:klokke =ja
crossing:island,no,krydsning:ø =nej
crossing:island,yes,krydsning:ø =ja
crossing:light,no,krydsning:lys =nej
crossing:light,yes,krydsning:lys =ja
crossing:markings,no,krydsning:markeringer = nej
crossing:markings,yes,krydsning:markeringer = ja
crossing:saltire,yes,krydsning: saltire = ja
crossing:signals,no,krydsning:signaler =nej
crossing:signals,yes,krydsning:signaler = ja
crossing,no,krydsning = nej
currency:EUR,yes,valuta: EUR = ja
currency:USD,yes,valuta: USD = ja
currency:XBT,yes,valuta: XBT = ja
cutting,yes,skæring = ja
cyclestreet,yes,cykelgade = ja
cycleway:both:buffer,no,cykelsti:begge:buffer =nej
cycleway:both,no,cykelsti: begge = nej
cycleway:left:oneway,no,cykelsti:venstre:ensrettet =nej
cycleway:left,no,cykelsti:venstre = nej
cycleway:right:buffer,no,cykelsti:højre:buffer =nej
cycleway:right:buffer,yes,cykelsti:højre:buffer =ja
cycleway:right:oneway,no,cykelsti:højre:ensrettet =nej
cycleway:right:oneway,yes,cykelsti:højre:ensrettet =ja
cycleway:right:segregated,no,cykelsti:højre:adskilt =nej
cycleway:right,no,cykelsti:højre = nej
cycleway,no,cykelsti = nej
delivery,no,levering = nej
delivery,yes,levering = ja
demolished:building,yes,nedrevet:bygning =ja
departures_board,no,afgangstavle = nej
departures_board,yes,afgangstavle = ja
design:incomplete,yes,design:ufuldstændig = ja
destroyed:building,yes,ødelagt:bygning =ja
dibavod:needs:review,yes,dibavod:behov:anmeldelse =ja
diet:halal,no,kost: halal = nej
diet:halal,yes,kost: halal = ja
diet:kosher,no,kost: kosher = nej
diet:vegan,no,kost: vegansk = nej
diet:vegan,yes,kost: vegansk = ja
diet:vegetarian,yes,kost: vegetarisk = ja
dispensing,yes,dispensering = ja
disused:shop,yes,nedlagt:butik =ja
disused,yes,nedlagt = ja
dog,no,hund = nej
dog,yes,hund = ja
door,no,dør = nej
door,yes,dør = ja
drinking_water,no,drikkevand =nej
drinking_water,yes,drikkevand = ja
drive_through,no,drive_through = nej
drive_through,yes,drive_through = ja
dual_carriageway,yes,dobbelt_kørebane = ja
electrified,no,elektrificeret = nej
embankment,yes,dæmning = ja
emergency,no,nødsituation = nej
emergency,yes,nødsituation = ja
entrance,yes,indgang = ja
ephemeral,yes,flygtig = ja
exit,yes,udgang = ja
expressway,no,motorvej = nej
expressway,yes,motorvej = ja
fdot:sis,yes,fdot:sis =ja
fee,no,gebyr = nej
fee,yes,gebyr = ja
female,no,kvinde = nej
female,yes,kvinde = ja
ferry,yes,færge=ja
fire_hydrant:diameter:signed,no,brandhane:diameter:signeret = nej
fire_hydrant:pressure,yes,brandhane:tryk =ja
fireplace,yes,pejs = ja
fixme,yes,fixme = ja
flashing_lights,no,blinkende_lys = nej
floating,no,flydende = nej
floating,yes,flydende = ja
flood_prone,no,oversvømmelsesudsat = nej
flood_prone,yes,oversvømmelsesudsat = ja
flour_fortified,no,melberiget = nej
FMMP_modified,no,FMMP_modificeret = nej
FMMP_reviewed,no,FMMP_gennemgået = nej
foot,no,fod = nej
foot,yes,fod = ja
ford,yes,Ford = ja
frontage_road,yes,facadevej = ja
fuel:diesel,yes,brændstof: diesel = ja
fuel:e10,yes,brændstof:e10=ja
fuel:GTL_diesel,yes,brændstof: GTL_diesel = ja
fuel:lpg,yes,brændstof: lpg = ja
fuel:octane_91,yes,brændstof:oktan_91=ja
fuel:octane_92,yes,brændstof:oktan_92=ja
fuel:octane_95,yes,brændstof:oktan_95=ja
fuel:octane_98,yes,brændstof:oktan_98=ja
generator:output:electricity,yes,generator:output:elektricitet =ja
generator:solar:tracking,no,generator:sol:sporing = nej
geometry:reviewed,no,geometri:gennemgået =nej
golf_cart,yes,golfvogn = ja
goods,no,varer = nej
goods,yes,varer = ja
grande_circulation,yes,stor_cirkulation = ja
gutter,no,tagrende = nej
handrail:left,yes,gelænder:venstre = ja
handrail:right,yes,håndliste: højre = ja
handrail,no,gelænder = nej
handrail,yes,gelænder = ja
hazmat,no,farligt materiale = nej
healthcare,yes,sundhedspleje = ja
heritage,yes,arv = ja
hgv:national_network,no,hgv:nationalt_netværk =nej
hgv:national_network,yes,hgv:nationalt_netværk =ja
hgv:state_network,yes,hgv:state_network = ja
hgv,no,tung lastbil = nej
hgv,yes,lastbil = ja
highspeed,no,høj hastighed = nej
highspeed,yes,højhastighed = ja
hiking,yes,vandreture = ja
historic,yes,historisk = ja
horse,no,hest = nej
horse,yes,hest = ja
ice_road,yes,isvej =ja
implicit,yes,implicit = ja
import,yes,import = ja
indoor_seating,no,indendørs_siddepladser =nej
indoor_seating,yes,indendørs_siddepladser = ja
indoor,no,indendørs = nej
indoor,yes,indendørs = ja
informal,no,uformel=nej
informal,yes,uformel=ja
intermittent,no,intermitterende = nej
intermittent,yes,intermitterende = ja
internet_access:fee,no,internet_adgang:gebyr = nej
internet_access:fee,yes,internet_adgang:gebyr = ja
internet_access,no,internetadgang = nej
internet_access,yes,internetadgang = ja
is_sidepath,yes,is_sidepath =ja
junction,yes,kryds = ja
kerb,no,kantsten = nej
kerb,yes,kantsten = ja
LandPro08:reviewed,no,LandPro08:anmeldt=nej
lane_markings,no,vognbanemarkeringer = nej
lane_markings,yes,vognbanemarkeringer = ja
language:en,yes,sprog:da = ja
lcn,yes,lcn = ja
light_rail,yes,letbane = ja
