key,value,définition
*-tip/pista,guagua,*-tip/pista=guagua
4wd_only,recommended,4x4 uniquement = recommandé
abandoned:amenity,prison,abandonné : commodité = prison
abandoned:amenity,prison_camp,abandonné:aménité=camp_prison
abandoned:highway,path,abandonné:autoroute=chemin
abandoned:highway,track,abandonnée:autoroute=piste
abandoned:landuse,landfill,abandonné : utilisation des terres = décharge
abandoned:landuse,quarry,abandonné:utilisation des terres=carrière
abandoned:man_made,petroleum_well,abandonné : puits de pétrole artificiel
abandoned:man_made,pipeline,abandonné : pipeline artificiel
abandoned:place,hamlet,abandonné:lieu=hameau
abandoned:railway,rail,abandonné:chemin de fer=rail
abandoned:railway,station,abandonnée:chemin de fer=gare
abutters,industrial,riverains = industriels
abutters,mixed,riverains = mixtes
abutters,residential,riverains = résidentiels
abutters,retail,riverains = commerce de détail
access,agricultural,accès=agricole
access,bdouble,accès=bdouble
access,customers,accès=clients
access,delivery,accès=livraison
access,designated,accès=désigné
access,destination,accès=destination
access,discouraged,accès déconseillé
access,dismount,accès=démonter
access,employees,accès=employés
access,exclusion_zone,accès= zone_exclusion
access,forestry,accès=foresterie
access,licence,accès=licence
access,license,accès=licence
access,military,accès=militaire
access,no,accès=non
access,official,accès=officiel
access,permissive,accès=permissif
access,permit,accès=permis
access,private,accès=privé
access,public,accès=public
access,residents,accès=résidents
access,restricted,accès=restreint
access,students,accès=étudiants
access,unknown,accès=inconnu
access,use_sidepath,accès=utiliser_chemin_latéral
access,variable,accès=variable
access_control,full,contrôle_d_accès=complet
access_control,partial,contrôle_d_accès=partiel
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,access:citizenship=двухбуквенный_код_страны_по_ISO-3166-1
access:delivery,no,accès:livraison=non
access:roof,no,accès:toit=non
accuracy,10,précision=10
accuracy:meters,10,précision : mètres = 10
accuracy:meters,21,précision : mètres = 21
accuracy:meters,22,précision : mètres = 22
accuracy:meters,25,précision : mètres = 25
accuracy:meters,26,précision : mètres = 26
actuator,electric_motor,actionneur=moteur_électrique
actuator,hydraulic_cylinder,actionneur=cylindre_hydraulique
actuator,manual,actionneur=manuel
actuator,pneumatic_cylinder,actionneur=cylindre_pneumatique
addr:block,*,addr:block=*
addr:block_number,1,adresse:numéro_de_bloc=1
addr:block_number,2,adresse:numéro_de_bloc=2
addr:block_number,3,addr:block_number=3
addr:block:en,Block 1,addr:block:en=Bloc 1
addr:block:en,Block␣1,addr:block:en=Bloc ␣ 1
addr:city,'s-Gravenhage,adresse:ville='s-Gravenhage
addr:city,*,adresse:ville=*
addr:city:ar,الــوادي,addr:city:ar= الــوادي
addr:city:de,Bozen,addr:city:de=Bozen
addr:city:en,10th of Rammadan City,addr:city:en=10ème ville de Rammadan
addr:city:en,October␣Gardens␣City,addr:city:en=October ␣ Gardens ␣ City
addr:city:it,Bolzano,addr:city:it=Bolzano
addr:city:simc,918123,adresse:ville:simc=918123
addr:community,Nima,addr:community=Nima
addr:conscriptionnumber,1,adresse:numéro de carte d'identité=1
addr:conscriptionnumber,9,addr:numéro de inscription=9
addr:country,*,adresse:pays=*
addr:country,AE,addr:pays=AE
addr:county,Stafford County,addr:county=Comté de Stafford
addr:county,Tuttlingen,addr:county=Tuttlingen
addr:county,Washington,addr:county=Washington
addr:county,Washoe,addr:county=Washoe
addr:district,*,adresse:district=*
addr:district,26 de Octubre,addr:district=26 de Octubre
addr:district,龜山區,addr:district=龜山區
addr:district:en,Al Agouza,addr:district:en=Al Agouza
addr:district:en,Western␣Al␣Omraneya,addr:district:en=Western ␣ Al ␣ Omraneya
addr:division,Kawempe,addr:division=Kawempe
addr:division,Rajshahi,addr:division=Rajshahi
addr:flats,1-2,addr:flats=1-2
addr:flats,1-20,addr:flats=1-20
addr:flats,1-3,addr:flats=1-3
addr:flats,1-4,addr:flats=1-4
addr:flats,A;B,addr:flats=A;B
addr:floor,0,adresse:plancher=0
addr:floor,Floor␣1,addr:floor=Étage ␣ 1
addr:floor,Floor␣2,addr:floor=Étage ␣ 2
addr:hamlet,*,adresse:hameau=*
addr:hamlet,三和里,addr:hamlet=三和里
addr:housenumber,0,adresse:numéro de maison=0
addr:inclusion,actual,addr:inclusion=actuel
addr:inclusion,estimate,addr:inclusion=estimation
addr:inclusion,potential,addr:inclusion=potentiel
addr:interpolation,all,addr:interpolation=tout
addr:interpolation,even,addr:interpolation=pair
addr:interpolation,odd,addr:interpolation=impair
addr:municipality,Aabenraa,addr:municipality=Aabenraa
addr:municipality,Vordingborg,addr:municipality=Vordingborg
addr:neighbourhood,1,adresse:quartier=1
addr:neighbourhood,*,adresse:quartier=*
addr:place,*,adresse:lieu=*
addr:place,المجاورة 1,addr:place= المجاورة 1
addr:place:en,Area A,addr:place:en=Zone A
addr:postcode,100,adresse:code postal=100
addr:postcode,*,adresse:code postal=*
addr:postcode,05-092,adresse:code postal=05-092
addr:postcode:source,*,adresse:code postal:source=*
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:source=Date de la Posta Română, publier sous Licența pentru Guvernare Deschisă v1.0 sur http://date.gov.ro/organization/posta-romana"
addr:province,*,addr:province=*
addr:province,AB,addr:province=AB
addr:province:en,*,addr:province:en=*
addr:province:en,Al Beheira,addr:province:en=Al Beheira
addr:region,*,addr:region=*
addr:region,Farg'ona Viloyati,addr:region=Farg'ona Viloyati
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:source=Gatineau.ca/donneesouvertes 08août2015
addr:source,NRW-Atlas,addr:source=NRW-Atlas
addr:state,*,adresse:état=*
addr:state,AK,adresse:état=AK
addr:street,*,adresse:rue=*
addr:street,1 Maja,adresse:rue=1 Maja
addr:street,民生路,addr:street=民生路
addr:street:en,Omar Ibn Al Khatab Street,addr:street:en=Rue Omar Ibn Al Khatab
addr:street:en,Street 1,addr:street:en=Rue 1
addr:street:en,Street 2,addr:street:en=Rue 2
addr:street:en,Street 3,addr:street:en=Rue 3
addr:street:prefix,East,adresse:rue:préfixe=Est
addr:street:prefix,North,adresse:rue:préfixe=Nord
addr:street:prefix,South,adresse:rue:préfixe=Sud
addr:street:prefix,West,adresse:rue:préfixe=Ouest
addr:street:sym_ul,10898,adresse:rue:sym_ul=10898
addr:street:sym_ul,21970,adresse:rue:sym_ul=21970
addr:street:type,Avenue,adresse:rue:type=Avenue
addr:street:type,Place,addr:street:type=Place
addr:street:type,Street,addr:street:type=Rue
addr:streetnumber,1,adresse:numéro de rue=1
addr:streetnumber,9,adresse:numéro de rue=9
addr:streetnumber,10,adresse:numéro de rue=10
addr:subdistrict,*,adresse:sous-district=*
addr:subdistrict,Olaines pagasts,addr:subdistrict=Pagass Olaines
addr:subdistrict:en,*,addr:subdistrict:en=*
addr:subdistrict:en,Al Agamy,addr:subdistrict:en=Al Agamy
addr:suburb,*,adresse:banlieue=*
addr:suburb,Centro,addr:suburb=Centro
addr:town,*,adresse:ville=*
addr:TW:dataset,120044,adresse:TW:dataset=120044
addr:TW:dataset,137998,addr:TW:dataset=137998
addr:type,water,addr:type=eau
addr:unit,1,adresse:unité=1
addr:unit,*,adresse:unité=*
addr:unit,A,adresse:unité=A
addr:village,Gumare,adresse:village=Gumare
