key,value,definition
4wd_only,yes,4x4 uniquement=oui
abandoned:building,yes,bâtiment abandonné = oui
abandoned,yes,abandonné = oui
access:delivery,no,accès:livraison = non
access:roof,no,accès:toit = non
access,no,accès = non
access,yes,accès = oui
addr:contact,yes,adresse:contact =oui
addr:nostreet,yes,addr:nostreet =oui
agricultural,no,agricole = non
agricultural,yes,agricole = oui
air_conditioning,no,climatisation = non
air_conditioning,yes,climatisation = oui
animated,no,animé = non
area:highway,yes,zone:autoroute = oui
area,no,zone = non
area,yes,zone = oui
armrest,no,accoudoir = non
armrest,yes,accoudoir = oui
atm,yes,distributeur automatique de billets = oui
authentication:app,yes,authentification:app = oui
authentication:contactless,yes,authentification : sans contact = oui
authentication:membership_card,yes,authentification : carte_de_membre = oui
authoritative,yes,autorité = oui
automated,no,automatisé = non
automated,yes,automatisé = oui
backcountry,yes,arrière-pays = oui
backrest,no,dossier = non
backrest,yes,dossier = oui
backup_generator,no,générateur_de_sauvegarde = non
bar,yes,barre=oui
barrier:keypad,yes,barrière:clavier = oui
barrier,yes,barrière = oui
bdouble,yes,bdouble = oui
bench,no,banc = non
bench,yes,banc = oui
bicycle_road,yes,route_cyclable = oui
bicycle,no,vélo = non
bicycle,yes,vélo = oui
bin,no,bac = non
bin,yes,bin = oui
boat,no,bateau = non
boat,yes,bateau = oui
bottle,yes,bouteille = oui
bridge,yes,pont=oui
building:fireproof,no,bâtiment:ignifugé = non
building:fireproof,yes,bâtiment:ignifugé = oui
building:part,yes,bâtiment:partie = oui
building:prefabricated,yes,bâtiment:préfabriqué = oui
building:use:parking,yes,bâtiment:utilisation:parking =oui
building:use:residential,yes,bâtiment:usage:résidentiel =oui
building,no,bâtiment = non
building,yes,bâtiment = oui
bus,no,bus=non
bus,yes,bus=oui
button_operated,no,bouton_opéré = non
button_operated,yes,bouton_opéré = oui
canoe,no,canoë = non
canoe,yes,canoë = oui
capacity:disabled,no,capacité:désactivée = non
capacity:disabled,yes,capacité:désactivée = oui
capacity:parent,no,capacité:parent = non
capacity:women,no,capacité : femmes = non
caravans,no,caravanes = non
caravans,yes,caravanes = oui
carriage,no,chariot = non
cash_in,no,encaissement = non
cash_in,yes,encaissement = oui
centre_turn_lane,yes,voie_de_virage_centrale = oui
change:backward,no,changer:backward = non
change:forward,no,changer:avancer = non
change:lanes:backward,no,changer:lanes:arrière = non
change:lanes:forward,no,changer:lanes:avancer = non
changing_table,no,changing_table = non
changing_table,yes,changing_table = oui
club,yes,club=oui
communication:lte,yes,communication:lte = oui
communication:microwave,yes,communication : micro-ondes = oui
communication:mobile_phone,yes,communication:mobile_phone = oui
communication:radio,yes,communication:radio = oui
complete,yes,complet=oui
compressed_air,yes,air comprimé = oui
construction,yes,construction = oui
conveying,yes,transmission = oui
cosmha,yes,cosmha = oui
covered,no,couvert = non
covered,yes,couvert = oui
crossing:barrier,no,passage:barrière = non
crossing:bell,no,passage piéton : sonnette = non
crossing:bell,yes,passage piéton : sonnette = oui
crossing:island,no,traversée : île = non
crossing:island,yes,traversée : île = oui
crossing:light,no,passage piéton : feu = non
crossing:light,yes,passage piéton : feu = oui
crossing:markings,no,passage piéton : marquages = non
crossing:markings,yes,passage piéton : marquages = oui
crossing:saltire,yes,traversée : saltire = oui
crossing:signals,no,passage piéton : signal = non
crossing:signals,yes,passage piéton : signalisation = oui
crossing,no,passage = non
currency:EUR,yes,devise : EUR = oui
currency:USD,yes,devise : USD = oui
currency:XBT,yes,devise : XBT = oui
cutting,yes,coupe = oui
cyclestreet,yes,rue du cycle = oui
cycleway:both:buffer,no,piste cyclable:les deux:tampon = non
cycleway:both,no,piste cyclable : les deux = non
cycleway:left:oneway,no,piste cyclable:gauche:sens unique =non
cycleway:left,no,piste cyclable:gauche = non
cycleway:right:buffer,no,piste cyclable:droite:tampon =non
cycleway:right:buffer,yes,piste cyclable:droite:tampon =oui
cycleway:right:oneway,no,piste cyclable:droite:sens unique =non
cycleway:right:oneway,yes,piste cyclable:droite:sens unique =oui
cycleway:right:segregated,no,piste cyclable:droite:ségréguée =non
cycleway:right,no,piste cyclable:droite = non
cycleway,no,piste cyclable = non
delivery,no,livraison = non
delivery,yes,livraison = oui
demolished:building,yes,démoli : bâtiment = oui
departures_board,no,tableau des départs = non
departures_board,yes,tableau des départs = oui
design:incomplete,yes,conception : incomplète = oui
destroyed:building,yes,détruit : bâtiment = oui
dibavod:needs:review,yes,dibavod:needs:review =oui
diet:halal,no,régime alimentaire : halal = non
diet:halal,yes,régime alimentaire : halal = oui
diet:kosher,no,régime : casher = non
diet:vegan,no,régime : végétalien = non
diet:vegan,yes,régime alimentaire : végétalien = oui
diet:vegetarian,yes,régime alimentaire : végétarien = oui
dispensing,yes,distribution = oui
disused:shop,yes,magasin désutilisé = oui
disused,yes,désaffecté = oui
dog,no,chien = non
dog,yes,chien = oui
door,no,porte = non
door,yes,porte = oui
drinking_water,no,eau potable = non
drinking_water,yes,eau potable = oui
drive_through,no,service au volant = non
drive_through,yes,service au volant = oui
dual_carriageway,yes,voie à double chaussée = oui
electrified,no,électrifié = non
embankment,yes,remblai = oui
emergency,no,urgence = non
emergency,yes,urgence = oui
entrance,yes,entrée = oui
ephemeral,yes,éphémère = oui
exit,yes,sortie = oui
