key,value,definición
*-tip/pista,guagua,"ALERTA: Se queres atopar un autobús, usa o autobús"
4wd_only,recommended,Só 4x4 = recomendado
abandoned:amenity,prison,Abandonado: Servizo/Servizo = Prisión
abandoned:amenity,prison_camp,Abandonado: Servizo/Amenidades = Campo de prisioneiros
abandoned:highway,path,abandonado:ruta por estrada=
abandoned:highway,track,abandonado: estrada = pista
abandoned:landuse,landfill,Abandonado: uso do solo = vertedoiro
abandoned:landuse,quarry,abandonado: uso do solo = canteira
abandoned:man_made,petroleum_well,abandonado:artificial = pozo_de_petróleo
abandoned:man_made,pipeline,abandonado:home_o=tubaxe feita
abandoned:place,hamlet,abandonado:acceso=de
abandoned:railway,rail,abandonado: ferrocarril = vía
abandoned:railway,station,abandonado: ferrocarril = estación
abutters,industrial,fronteiras con = industrial
abutters,mixed,fronteiras con = mesturado
abutters,residential,limita con = Residencial
abutters,retail,adxacente = venda polo miúdo
access,agricultural,acceso = agrícola
access,bdouble,acceso = dobre
access,customers,acceso = clientes
access,delivery,acceso = entrega
access,designated,acceso = designado
access,destination,acceso = destino
access,discouraged,acceso = desaconsellado
access,dismount,acceder = desmontar
access,employees,acceso = empregados
access,exclusion_zone,acceso = Zona de exclusión
access,forestry,acceso = silvicultura
access,licence,acceso = licenza
access,license,acceso = licenza
access,military,aldea do sitio=control
access,no,acceso = non
access,official,acceso = oficial
access,permissive,acceso = permisivo
access,permit,acceso = permiso
access,private,acceso = privado
access,public,acceso = público
access,residents,acceso = residentes
access,restricted,acceso = restrinxido
access,students,acceso = estudantes
access,unknown,acceso = descoñecido
access,use_sidepath,acceso = usar camiño lateral
access,variable,acceso = variable
access_control,full,control de acceso militar
access_control,partial,acceso completo = parcial
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,acceso:cidadanía = código de dous libros segundo ISO-3166-1
access:delivery,no,acceso:entrega = non
access:roof,no,acceso: tellado = non
accuracy,10,precisión: metros = *
accuracy:meters,10,precisión: metros = *
actuator,electric_motor,solenoide = motor eléctrico
actuator,hydraulic_cylinder,solenoide = cilindro hidráulico
actuator,manual,solenoide = manual
actuator,pneumatic_cylinder,solenoide = cilindro pneumático
addr:block,*,enderezo: bloque = *
addr:block_number,1,enderezo:número_de_bloque = *
addr:block_number,2,enderezo:número_de_bloque=2
addr:block_number,3,enderezo:número_de_bloque=3
addr:block:en,Block 1,addr:block:gl=Bloque 1
addr:block:en,Block_1,enderezo:bloque:es = Bloque_1
addr:city,'s-Gravenhage,addr:la ciudad= es-Gravenhage
addr:city,*,enderezo:cidade = *
addr:city:ar,الــوادي,addr:city:ar= الــوادي
addr:city:de,Bozen,enderezo:cidade:de=Bozen
addr:city:en,10th of Rammadan City,addr:city:gl=Cidade do 10 de Ramadán
addr:city:en,October_Gardens_City,enderezo:cidade:es = Cidade_dos_Xardíns_de_Outubro
addr:city:it,Bolzano,enderezo:cidade:it = Bolzano
addr:city:simc,918123,enderezo:cidade:simc=918123
addr:community,Nima,enderezo:comunidade = nima
addr:conscriptionnumber,1,enderezo:número de contratación=1
addr:conscriptionnumber,9,enderezo: número de recrutamento = *
addr:country,*,enderezo: país = *
addr:country,AE,enderezo:país=AE
addr:county,Stafford County,addr:condado=Condado de Stafford
addr:county,Tuttlingen,enderezo: condado = Tuttlingen
addr:county,Washington,adr:condado=Washington
addr:county,Washoe,addr:condado=Washoe
addr:district,*,enderezo: distrito = *
addr:district,26 de Octubre,addr:distrito=26 de outubro
