key,value,definition
road_marking,no,=
road_marking,yes,=
bulk_purchase,yes,a granel = si
abandoned,yes,Abandonado = si
abandoned:building,yes,Abandonado:edificio = si
dennert_fir_tree,yes,Abeto de Dennert = se
access,no,acceso = non
access,yes,acceso = si
internet_access,no,Acceso a Internet = non
internet_access,yes,Acceso a Internet = si
access:roof,no,acceso: tellado = non
access:delivery,no,acceso:entrega = non
sidewalk,no,beirarrúa = non
sidewalk:right,no,beirarrúa: dereita = non
sidewalk:left,no,beirarrúa: esquerda = non
overtaking,no,adiantamento = non
overtaking,yes,adiantamento = si
managed,no,administrado = non
managed,yes,administrado = se
agricultural,no,agrícola = non
agricultural,yes,agrícola = si
water,yes,auga = se
drinking_water,no,auga potable = non
drinking_water,yes,auga potable = si
manhole,yes,boca de inspección = si
air_conditioning,yes,aire acondicionado = si
compressed_air,yes,aire comprimido = si
segregated,no,illado = non
segregated,yes,illado = si
highspeed,no,alta velocidade = non
highspeed,yes,alta velocidade = si
mooring,yes,amarre = si
narrow,yes,estreito = si
animated,no,animado = non
anthropogenic,yes,antropoxénico = se
trees,yes,árbores = se
area,no,área = non
area,yes,área = si
razed:building,yes,Destruído: edificio = si
craft,yes,artesanía = se
man_made,yes,artificial = si
artist:unknown,yes,artista:descoñecido = se
toilets:access,yes,aseos:acceso = se
toilets:wheelchair,no,baños: cadeira de rodas = non
toilets:wheelchair,yes,baños: accesible para cadeiras de rodas = si
outdoor_seating,no,asentos ao aire libre = non
outdoor_seating,yes,asentos ao aire libre = si
indoor_seating,yes,asentos_interiores = si
authentication:membership_card,yes,autenticación: tarxeta_de_membro = si
car,no,coche = non
car,yes,coche = se
bus,no,autobús = non
bus,yes,"autobús si, góndola si"
automated,yes,automatizado = se
motorcar,no,coche = non
motorcar,yes,coche = si
expressway,no,Autoestrada = non
highway,no,autoestrada = non
highway,yes,autoestrada = se
expressway,yes,Autoestrada = si
authoritative,yes,autoritario = si
self_service,no,autoservizo = non
self_service,yes,autoservizo = si
dual_carriageway,no,autoestrada = non
dual_carriageway,yes,autoestrada = si
on_demand,yes,Baixo demanda = se
toilets,no,baños = non
toilets,yes,baños = si
toilets:handwashing,no,baños: lavar as mans = non
bbq,yes,churrasco = se
fallow,yes,barbeito = se
boat,no,barco = non
boat,yes,barco = si
boat:rental,yes,barco: aluguer = se
barrier,no,barreira = non
barrier,yes,barreira = si
bdouble,yes,dobre = si
drink:viez,yes,beber: viez = se
bicycle,no,bicicleta = non
bicycle,yes,bicicleta = si
mtb,no,bicicleta de montaña = non
mtb,yes,bicicleta de montaña = si
bicycle_road,yes,bicicleta_de_estrada = si
goods,no,mercadorías = non
goods,yes,mercadorías = si
tickets:public_transport_subscription,yes,Billetes: Abono de transporte público = Si
biosphärenwirt,yes,biosfera = se
lockable,no,pechable = non
locked,no,bloqueado = non
locked,yes,bloqueado = si
windings:auto,yes,enrolamentos: automático = se
pump,no,bomba = non
pump,yes,bomba = si
bottle,yes,botella = si
button_operated,no,botón_accionado = non
button_operated,yes,botón_accionado = si
hearing_loop,yes,bucle auditivo = se
horse,no,cabalo = non
horse,yes,cabalo = si
cabin:rental,yes,cabana:aluguer = se
