key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,key_ca,value_ca,key_es,value_es,number
4wd_only,recommended,4wd_only=recommended,,,,25165,0.0,21,0.0,25141,0.0,3,0.0,No,3,,,,,5706
4wd_only,yes,4wd_only=yes,,,,40087,0.0,3502,0.0,36578,0.0,7,0.0,Yes,3,,,,,3908
4wd_only,yes,,,Només 4x4	=	sí,Sólo 4x4	=	sí,,,,,,,,,,,Només 4x4,sí,Sólo 4x4,sí,13420
abandoned,yes,abandoned=yes,,Abandonat	=	sí,Abandonado	=	sí,130790,0.0,26042,0.0001,103443,0.0001,1305,0.0001,Yes,4,,,,,1613
abandoned,yes,,,,,,,,,,,,,,,Abandonat,sí,Abandonado,sí,13421
abandoned:amenity,prison,,,abandonat: amenitat/servei	=	presó,abandonado: amenidad/servicio	=	prisión,,,,,,,,,,,abandonat: amenitat/servei,presó,abandonado: amenidad/servicio,prisión,13423
abandoned:amenity,prison_camp,,,abandonat: amenitat/servei	=	camp de presoners,abandonado: amenidad/servicio	=	campo de prisioneros,,,,,,,,,,,abandonat: amenitat/servei,camp de presoners,abandonado: amenidad/servicio,campo de prisioneros,13422
abandoned:building,yes,abandoned:building=yes,,,,131992,0.0,327,0.0,131574,0.0001,91,0.0,No,0,,,,,1601
abandoned:building,yes,,,Abandonat:edifici	=	sí,Abandonado:edificio	=	sí,,,,,,,,,,,Abandonat:edifici,sí,Abandonado:edificio,sí,13424
abandoned:highway,path,abandoned:highway=path,,,,15325,0.0,1,0.0,15324,0.0,0,0.0,No,2,,,,,8863
abandoned:highway,track,abandoned:highway=track,,,,49568,0.0,18,0.0,49549,0.0,1,0.0,No,2,,,,,3337
abandoned:highway,track,,,abandonat: carretera	=	pista,abandonado:carretera	=	pista,,,,,,,,,,,abandonat: carretera,pista,abandonado:carretera,pista,13425
abandoned:landuse,landfill,,,abandonat: ús de la terra	=	abocador,abandonado: uso de la tierra	=	vertedero,,,,,,,,,,,abandonat: ús de la terra,abocador,abandonado: uso de la tierra,vertedero,13427
abandoned:landuse,quarry,,,abandonat: ús de la terra	=	pedrera,abandonado: uso de la tierra	=	cantera,,,,,,,,,,,abandonat: ús de la terra,pedrera,abandonado: uso de la tierra,cantera,13426
abandoned:man_made,petroleum_well,abandoned:man_made=petroleum_well,,,,14986,0.0,14984,0.0001,1,0.0,1,0.0,No,0,,,,,9056
abandoned:man_made,petroleum_well,,,abandonat:fet per lhome	=	pou_de_petroli,abandonado:hecho por el hombre	=	pozo_de_petroleo,,,,,,,,,,,abandonat:fet per lhome,pou_de_petroli,abandonado:hecho por el hombre,pozo_de_petroleo,13428
abandoned:man_made,pipeline,abandoned:man_made=pipeline,,,,15001,0.0,0,0.0,15001,0.0,0,0.0,No,0,,,,,9049
abandoned:place,hamlet,abandoned:place=hamlet,,,,11426,0.0,9351,0.0,1493,0.0,582,0.0,No,1,,,,,11770
abandoned:railway,rail,abandoned:railway=rail,,,,135695,0.0,15,0.0,135612,0.0001,68,0.0,Yes,2,,,,,1567
abandoned:railway,rail,,,abandonat: ferrocarril	=	carril,abandonado:ferrocarril	=	carril,,,,,,,,,,,abandonat: ferrocarril,carril,abandonado:ferrocarril,carril,13429
abandoned:railway,station,,,abandonat: ferrocarril	=	estació,abandonado:ferrocarril	=	estación,,,,,,,,,,,abandonat: ferrocarril,estació,abandonado:ferrocarril,estación,13430
abutters,industrial,,,confina amb	=	industrial,colinda con	=	industrial,,,,,,,,,,,confina amb,industrial,colinda con,industrial,13432
abutters,mixed,,,confina amb	=	barrejat,colinda con	=	mezclado,,,,,,,,,,,confina amb,barrejat,colinda con,mezclado,13433
abutters,residential,abutters=residential,,,,64329,0.0,24,0.0,64269,0.0001,36,0.0,Yes,0,,,,,2767
abutters,residential,,,confina amb	=	Residencial,colinda con	=	Residencial,,,,,,,,,,,confina amb,Residencial,colinda con,Residencial,13431
