key,value,definition
4wd_only,recommended,Nur_Geländewagen=empfohlen
abandoned:highway,path,verlassen:Straße=Weg
abandoned:highway,track,verlassen:Straße=Wirtschaftsweg
abandoned:man_made,petroleum_well,verlassen:künstlich=Erdölbohrloch
abandoned:man_made,pipeline,verlassen:künstlich=Pipeline
abandoned:place,hamlet,verlassen:Ort=Weiler
abandoned:railway,rail,verlassen:Bahn=Gleis
abutters,residential,Anlieger=Wohngebiet
access_control,full,Zugangskontrolle=vollständig
access_control,partial,Zugangskontrolle=teilweise
access:delivery,no,Zugang:Lieferung=nein
access:roof,no,Zugang:Dach=nein
access,agricultural,Zugang=landwirtschaftlich
access,customers,Zugang=Kunden
access,delivery,Zugang=Zustellung
access,designated,Zugang=ausgewiesen
access,destination,Zugang=Ziel
access,forestry,Zugang=Forstwirtschaft
access,military,Zugang=militärisch
access,no,Zugang=nein
access,permissive,Zugang=geduldet
access,permit,Zugang=Genehmigung
access,private,Zugang=privat
access,unknown,Zugang=unbekannt
accuracy:meters,10,Genauigkeit:Meter=10
accuracy:meters,21,Genauigkeit:Meter=21
accuracy:meters,22,Genauigkeit:Meter=22
accuracy:meters,26,Genauigkeit:Meter=26
accuracy,10,Genauigkeit=10
addr:block_number,1,Adresse:Hausnummer=1
addr:block_number,2,Adresse:Hausnummer=2
addr:block_number,3,Adresse:Hausnummer=3
addr:block:en,Block 1,Adresse:Block:en=Block 1
addr:block,*,Adresse:Block=*
addr:city:ar,الــوادي,Adresse:Stadt:ar=Ø§Ù„ÙÙÙˆØ§Ø¯ÙŠ
addr:city:de,Bozen,Adresse:Stadt:de=Bozen
addr:city:en,10th of Rammadan City,Adresse:Stadt:en=10. Ramadan Stadt
addr:city:it,Bolzano,Adresse:Stadt:it=Bolzano
addr:city:simc,918123,Adresse:Stadt:simc=0918123
addr:city,'s-Gravenhage,Adresse:Stadt='s-Gravenhage
addr:community,Nima,Adresse:Gemeinschaft=Nima
addr:conscriptionnumber,1,Adresse:Wehrpflichtnummer=1
addr:country,AE,Adresse:Land=VAE
addr:county,Stafford County,Adresse:Landkreis=Washington
addr:county,Washington,Adresse:Landkreis=Washoe
addr:county,Washoe,Adresse:Bezirk:de=Al Agouza
addr:district:en,Al Agouza,Adresse:Bezirk=26. Oktober
addr:district,26 de Octubre,Adresse:Bezirk=é¾å±±å
addr:district,龜山區,Adresse:Bezirk=Kawempe
addr:division,Kawempe,Adresse:Bezirk=Rajshahi
addr:division,Rajshahi,Adresse:Wohnungen=1-2
addr:flats,1-2,Adresse:Wohnungen=1-20
addr:flats,1-20,Adresse:Wohnungen=1-3
addr:flats,1-3,Adresse:Wohnungen=1-4
addr:flats,1-4,Adresse:Wohnungen=A;B
addr:flats,A;B,Adresse:Etage=0
addr:floor,0,Adresse:Weiler=ä¸‰å'Œé‡Œ
addr:hamlet,三和里,Adresse:Hausnummer=0
addr:housenumber,0,Adresse:Einschluss=aktuell
addr:inclusion,actual,Adresse:Einschluss=geschätzt
addr:inclusion,estimate,Adresse:Einschluss=möglich
addr:inclusion,potential,Adresse:Interpolation=alle
addr:interpolation,all,Adresse:Interpolation=gerade
addr:interpolation,even,Adresse:Interpolation=ungerade
addr:interpolation,odd,Adresse:Gemeinde=Aabenraa
addr:municipality,Aabenraa,Adresse:Nachbarschaft=1
addr:neighbourhood,1,Adresse:Ort:de=Area A
addr:place:en,Area A,Adresse:Ort=Ø§Ù„Ù…Ø¬Ø§ÙˆØ±Ø© 1
addr:place,المجاورة 1,"Adresse:Postleitzahl:Quelle=Date de la PoÈta RomÃ¢nÄƒ, publicate sub LicenÈ›a pentru Guvernare DeschisÄƒ v1.0 la http://date.gov.ro/organization/posta-romana"
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",Adresse:Postleitzahl=05-092
addr:postcode,05-092,Adresse:Postleitzahl=100
addr:postcode,100,Adresse:Provinz:de=Al Beheira
addr:province:en,Al Beheira,Adresse:Provinz=AB
addr:province,AB,Adresse:Region=Farg'ona Viloyati
addr:region,Farg'ona Viloyati,Adresse:Quelle=Gatineau.ca/donneesouvertes 08.08.2015
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,Adresse:Quelle=NRW-Atlas
addr:source,NRW-Atlas,Adresse:Bundesstaat=AK
addr:state,AK,Adresse:Straße:de=Omar Ibn Al Khatab Straße
