key,value,definition,
shop,watches,tienda	=	relojes,⌚
shop,solarium,tienda	=	solárium,☀️
shop,cafe,tienda	=	cafetería,☕
shop,coffee,tienda	=	café,☕
shop,trade,tienda	=	comercio,⚖️
shop,sports,tienda	=	Deportes,⚽
shop,golf,tienda	=	golf,⛳
shop,boat,tienda	=	bote,⛵
shop,boat_parts,tienda	=	partes del barco,⛵
shop,chandler,tienda	=	velero,⛵
shop,ship_chandler,tienda	=	abastecedor de buques,⛵
shop,convenience;gas,tienda	=	conveniencia; gas,⛽
shop,fuel,tienda	=	combustible,⛽
shop,gas,tienda	=	gas,⛽
shop,travel_agency,tienda	=	agencia de viajes,✈️
shop,gold_buyer,tienda	=	comprador de oro,✨
shop,frozen_food,tienda	=	alimentos congelados,❄️
shop,vacant,tienda	=	vacante,❌
shop,edible_seeds,tienda	=	semillas comestibles,🌱
shop,spices,tienda	=	especias,🌶️
shop,flower,tienda	=	flor,🌸
shop,cannabis,tienda	=	canabis,🌿
shop,herbalist,tienda = herbolario,🌿
shop,winery,tienda	=	lagar,🍇
shop,food,tienda	=	alimento,🍎
shop,fast_food,tienda	=	comida rápida,🍔
shop,bbq,tienda	=	barbacoa,🍖
shop,grill,tienda	=	parrilla,🍖
shop,bakery,tienda	=	panadería,🍞
shop,seafood,tienda	=	mariscos,🍤
shop,chocolate,tienda	=	chocolate,🍫
shop,confectionery,tienda	=	confitería,🍬
shop,tea,tienda	=	té,🍵
shop,wine,tienda	=	vino,🍷
shop,beverages,tienda	=	bebidas,🍺
shop,brewing_supplies,tienda	=	suministros de elaboración de cerveza,🍺
shop,alcohol,tienda	=	alcohol,🍻
shop,Alko,tienda	=	Alko,🍻
shop,snack,tienda	=	merienda,🍿
shop,gift,tienda	=	regalo,🎁
shop,souvenir,tienda	=	recuerdo,🎁
shop,ceramics,tienda	=	cerámica,🎆
shop,fireworks,tienda	=	fuegos artificiales,🎆
shop,pyrotechnics,tienda	=	pirotécnica,🎇
shop,anime,tienda = anime,🎌
shop,fishing,tienda	=	pescar,🎣
shop,art,tienda	=	Arte,🎨
shop,craft,tienda	=	artesanía,🎨
shop,tattoo,tienda	=	tatuaje,🎨
shop,ticket,tienda	=	boleto,🎫
shop,tickets,tienda	=	Entradas,🎫
shop,games,tienda	=	juegos,🎮
shop,video_games,tienda	=	videojuegos,🎮
shop,betting,tienda	=	apuesta,🎲
shop,gambling,tienda	=	juego,🎲
shop,hifi,tienda	=	de alta fidelidad,🎵
shop,hobby,tienda	=	pasatiempo,🎸
shop,ski,tienda	=	esquí,🎿
shop,surf,tienda	=	navegar,🏄
shop,trophy,tienda	=	trofeo,🏆
shop,equestrian,tienda	=	ecuestre,🏇
shop,snowmobile,tienda	=	motonieve,🏍️
shop,recreational_vehicle,tienda	=	vehículo recreacional,🏖️
shop,trailer,tienda	=	remolque,🏖️
shop,carpet,tienda	=	alfombra,🏜️
shop,appliance,tienda	=	aparato,🏠
shop,estate_agent,tienda	=	agente inmobiliario,🏠
shop,general,tienda	=	general,🏠
shop,health,tienda	=	salud,🏥
shop,delicatessen,tienda	=	Tiendas Delicatessen,🏪
shop,antique,tienda	=	antiguo,🏺
shop,antiques,tienda	=	antigüedades-anticuario,🏺
shop,country_store,tienda	=	país_tienda,🐂
shop,general_store,tienda	=	almacén general,🐂
shop,wool,tienda	=	lana,🐑
shop,fish,tienda	=	pez,🐟
shop,fishmonger,tienda	=	pescadero,🐟
shop,audiologist,tienda	=	audiólogo,👂
shop,hearing_aid_dispenser,tienda	=	dispensador de audífonos,👂
shop,hearing_aids,tienda	=	audífonos,👂
shop,tailor,tienda	=	Sastre,👖
shop,boutique,tienda	=	boutique,👗
shop,clothes,tienda = ropa👕,👗
shop,fashion,tienda	=	Moda,👗
shop,underwear,tienda	=	ropa interior,👙
shop,bag,tienda	=	bolso,👜
shop,bag/proposal,tienda	=	bolsa/propuesta,👜
shop,shoes,tienda	=	Zapatos,👟
shop,funeral_directors,tienda	=	directores_funerarios,👤
shop,wigs,tienda	=	pelucas,👨‍🦳
shop,hairdresser,tienda	=	peluquero,👩
shop,baby_care,tienda	=	cuidado del bebé,👶
shop,baby_goods,tienda	=	baby_goods,👶
shop,gun,tienda	=	pistola,💀
shop,guns,tienda	=	pistolas,💀
shop,erotic,tienda	=	erótico,💃
shop,beauty,tienda	=	belleza,💄
shop,cosmetics,tienda	=	productos cosméticos,💄
shop,salon,tienda	=	salón,💇
shop,chemist,tienda	=	químico,💊
shop,fashion_accesories,tienda	=	accesorios de moda,💍
shop,fashion_accessories,tienda	=	Moda_accesorios,💍
shop,accessories,tienda	=	accesorios,💎
shop,florist,tienda	=	florista,💐
shop,flowers,tienda	=	flores,💐
shop,electrical,tienda	=	eléctrico,💡
shop,water,tienda	=	agua,💧
shop,bookmaker,tienda	=	corredor de apuestas,💰
shop,computer,tienda	=	computadora,💻
shop,business_machines,tienda	=	maquinas comerciales,💼
shop,street_vendor,tienda	=	vendedor ambulante,📈
shop,stationery,tienda	=	papelería,📏
shop,books,tienda	=	libros,📚
shop,copyshop,tienda	=	copistería,📜
shop,call_shop,tienda	=	locutorio,📞
shop,cell_phones,Buscar shop=mobile_phone	=	Buscar shop=mobile_phone,📱
shop,electronics,tienda	=	electrónica,📱
shop,telecommunication,tienda	=	telecomunicación,📱
shop,camera,tienda	=	cámara,📷
shop,radiotechnics,tienda	=	radiotecnia,📻
shop,video,tienda	=	video,📼
shop,security,tienda	=	seguridad,🔒
shop,fireplace,tienda	=	chimenea,🔥
shop,furnace,tienda	=	horno,🔥
shop,bicycle_repair,tienda	=	reparación de bicicletas,🔧
shop,building_materials,tienda	=	materiales de construcción,🔧
shop,hardware,tienda	=	ferretería,🔧
shop,shoe_repair,tienda	=	reparación de zapatos,🔧
shop,spare_parts,tienda	=	piezas de repuesto,🔧
shop,tool_hire,tienda	=	alquiler de herramientas,🔧
shop,firearms,tienda	=	armas de fuego,🔫
shop,esoteric,tienda	=	esotérico,🔮
shop,psychic,tienda	=	psíquico-tarot-futuro,🔮
shop,candles,tienda	=	velas,🕯️
shop,3d_printing,tienda	=	Impresión 3d,🖨️
shop,printer_ink,tienda	=	tinta de impresora,🖨️
shop,frame,tienda	=	marco,🖼️
shop,gallery,tienda	=	galería,🖼️
shop,collector,tienda	=	coleccionista,🗂️
shop,weapons,tienda	=	armas,🗡️
shop,robot,tienda	=	robot,🤖
shop,scuba_diving,tienda	=	submarinismo,🤿
shop,water_sports,tienda	=	Deportes acuáticos,🤿
shop,greengrocer,tienda	=	verdulero,🥦
shop,deli,tienda	=	fiambres,🥧
shop,butcher,tienda	=	carnicero,🥩
shop,cheese,tienda	=	queso,🧀
shop,wellness,tienda	=	bienestar,🧴
shop,fabric,tienda	=	tela,🧵
shop,fabrics,tienda	=	telas,🧵
shop,sewing,tienda	=	mercería,🧵
shop,toy,tienda	=	juguete,🧸
shop,toys,tienda	=	juguetes,🧸
shop,vacuum_cleaner,tienda	=	aspiradora,🧹
shop,dry_cleaning,tienda	=	Limpieza en seco,🧺
shop,free_flying,tienda	=	vuelo libre,🪁
shop,glass,tienda	=	vidrio,🪟
shop,doityourself,tienda	=	hazlo tu mismo,🙅
shop,caravan,tienda	=	caravana,🚐
shop,car,tienda	=	coche,🚗
shop,car_service,tienda	=	Servicio de auto,🚗
shop,vehicles,tienda	=	vehículos,🚗
shop,hgv,tienda	=	vhg,🚚
shop,truck,tienda	=	camión,🚚
shop,agrarian,tienda	=	agrario,🚜
