key,value,definition
*-tip/pista,guagua,"ALERTA: Autobus bat aurkitu nahi baduzu, erabili autobusa"
4wd_only,recommended,4x4 bakarrik = gomendagarria
abandoned:amenity,prison,Utzita: Zerbitzua/Amenitatea = Espetxea
abandoned:amenity,prison_camp,Utzita: Erosotasuna/Zerbitzua = Presoen Esparrua
abandoned:highway,path,abandonatuta:errepide ibilbidea=
abandoned:highway,track,abandonatuta: errepidea = pista
abandoned:landuse,landfill,Utzita: lurzoruaren erabilera = zabortegia
abandoned:landuse,quarry,abandonatuta: lurzoruaren erabilera = harrobia
abandoned:man_made,petroleum_well,abandonatua:gizakiak egina = petrolio_putzua
abandoned:man_made,pipeline,abandonatuta:gizona_hodia=hodi egina
abandoned:place,hamlet,utzita:sarbidea=-ren
abandoned:railway,rail,abandonatuta: trenbidea = bidea
abandoned:railway,station,abandonatuta: trenbidea = geltokia
abutters,industrial,mugakideak = industriala
abutters,mixed,mugak = nahasita
abutters,residential,mugakidea = Bizilekua
abutters,retail,ondoan = txikizkako merkataritza
access,agricultural,sarbidea = nekazaritza
access,bdouble,sarbidea = bikoitza
access,customers,sarbidea = bezeroak
access,delivery,sarbidea = entrega
access,designated,sarbidea = izendatua
access,destination,sarbidea = helmuga
access,discouraged,sarbidea = desanimatua
access,dismount,sarbidea = desmuntatu
access,employees,sarbidea = langileak
access,exclusion_zone,sarbidea = Bazterketa eremua
access,forestry,sarbidea = basogintza
access,licence,sarbidea = lizentzia
access,license,sarbidea = lizentzia
access,military,gunearen herrixka = kontrola
access,no,sarbidea = ez
access,official,sarbidea = ofiziala
access,permissive,sarbidea = baimengarria
access,permit,sarbidea = baimena
access,private,sarbidea = pribatua
access,public,sarbidea = publikoa
access,residents,sarbidea = bizilagunak
access,restricted,sarbidea = mugatua
access,students,sarbidea = ikasleak
access,unknown,sarbidea = ezezaguna
access,use_sidepath,sarbidea = erabili alboko bidea
access,variable,sarbidea = aldagaia
access_control,full,sarbide-kontrol militarra
access_control,partial,sarbide osoa = partziala
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,access:citizenship = bi liburuko kodea ISO-3166-1 araudiaren arabera
access:delivery,no,sarbidea: entrega = ez
access:roof,no,sarbidea: teilatua = ez
accuracy,10,zehaztasuna: metroak = *
accuracy:meters,10,zehaztasuna: metroak = *
actuator,electric_motor,solenoide = motor elektrikoa
actuator,hydraulic_cylinder,solenoide = zilindro hidraulikoa
actuator,manual,solenoide = eskuzkoa
actuator,pneumatic_cylinder,solenoide = zilindro pneumatikoa
addr:block,*,helbidea: blokea = *
addr:block_number,1,helbidea:bloke_zenbakia = *
addr:block_number,2,helbidea:bloke_zenbakia=2
addr:block_number,3,helbidea:bloke_zenbakia=3
addr:block:en,Block 1,addr:block:en=1. blokea
addr:block:en,Block_1,helbidea:blokea:es = 1_blokea
addr:city,'s-Gravenhage,helbidea: hiria= es-Gravenhage
addr:city,*,helbidea:hiria = *
addr:city:ar,الــوادي,addr:city:ar= الــوادي
addr:city:de,Bozen,helbidea:hiria:Bozen
addr:city:en,10th of Rammadan City,addr:city:en=Ramadango Hiriaren 10a
addr:city:en,October_Gardens_City,helbidea:hiria:es = Urriaren_Lorategiak_Hiria
addr:city:it,Bolzano,helbidea:hiria:it = Bolzano
addr:city:simc,918123,helbidea:hiria:simc=918123
addr:community,Nima,helbidea:komunitatea = nima
addr:conscriptionnumber,1,helbidea:errekrutatze zenbakia=1
addr:conscriptionnumber,9,helbidea: derrigorrezko konskripzio zenbakia = *
addr:country,*,helbidea: herrialdea = *
addr:country,AE,helbidea:herrialdea=AE
addr:county,Stafford County,addr:condado=Stafford konderria
addr:county,Tuttlingen,helbidea: konderria = Tuttlingen
addr:county,Washington,helbidea:condado=Washington
addr:county,Washoe,helbidea:condado=Washoe
addr:district,*,helbidea: barrutia = *
addr:district,26 de Octubre,addr:district=Urriaren 26a
addr:district,龜山區,addr:district=龜山區
addr:district:en,Al Agouza,addr:barrutia:eu=Al Agouza
addr:district:en,Western_Al_Omraneya,helbidea:barrutia:es = Occidental_Al_Omraneya
addr:division,Kawempe,helbidea:zatiketa = Kawempe
addr:division,Rajshahi,helbidea:#erreparto=Rajshahi
addr:flats,1-2,helbidea: solairuak = *
addr:flats,1-20,helbidea:solairuak=1-20
addr:flats,1-3,helbidea:solairuak=1-3
addr:flats,1-4,helbidea:solairuak=1-4
addr:flats,A;B,helbidea:solairuak=Bat;B
addr:floor,0,helbidea:solairua=0
addr:floor,Floor_1,helbidea:solairua = 1. solairua
addr:floor,Floor_2,helbidea:solairua = 2. solairua
addr:hamlet,*,helbidea: herria = *
addr:hamlet,三和里,addr:villorio=三和里
addr:housenumber,0,helbidea:etxe zenbakia=0
addr:inclusion,actual,helbidea: inklusioa = unekoa
addr:inclusion,estimate,norabidea: inklusioa = estimazioa
addr:inclusion,potential,norabidea: inklusioa = potentziala
addr:interpolation,all,helbidea:interpolazioa = guztiak
addr:interpolation,even,norabidea: interpolazioa = bikoitia
addr:interpolation,odd,norabidea:interpolazioa = arraroa
addr:municipality,Aabenraa,helbidea: udalerria=Aabenraa
addr:municipality,Vordingborg,helbidea: udalerria = Vordingborg
addr:neighbourhood,1,helbidea:barrio=1
addr:neighbourhood,*,helbidea: auzoa = *
addr:place,*,helbidea:lekua = *
addr:place,المجاورة 1,addr:site= 1. gunea
addr:place:en,Area A,addr:site:in=Lehen Eremua
addr:postcode,100,helbidea:postakodea=100
addr:postcode,*,Helbidea: Posta kodea = *
addr:postcode,05-092,helbidea:postakodea=05-092
addr:postcode:source,*,Helbidea: Posta kodea: Iturria = *
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:Cita=Posta Romana iturritik, Licența pentru Guvernare Deschisă v1.0 azpian argitaratua http://date.gov.ro/organization/posta-romana"
addr:province,*,helbidea: probintzia = *
addr:province,AB,helbidea:probintzia=AB
addr:province:en,*,helbidea:probintzia:es = *
addr:province:en,Al Beheira,helbidea:probintzia:eu=Al Beheira
addr:region,*,helbidea: eskualdea = *
addr:region,Farg'ona Viloyati,helbidea:eskualdea=Farg'ona Viloyati
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:source=Gatineau.ca/donneesouvertes 08Aug2015
addr:source,NRW-Atlas,helbidea:iturria=NRW-Atlas
addr:state,*,helbidea: estatua = *
addr:state,AK,helbidea:estatal=AK
addr:street,*,"helbide-nodoa: kale-izena, etorbidea, pasealekua, bulebarra, pasabidea, kalezuloa: kale-izena= *"
addr:street:en,Omar Ibn Al Khatab Street,addr:calle:eu=Omar Ibn Al Khatab Calle
addr:street:en,Street 1,addr:calle:en=1. deia
addr:street:en,Street 2,addr:calle:en=2. kalea
addr:street:en,Street 3,addr:calle:en=3. kalea
addr:street:prefix,East,addr:kalea:Ekialdea=aurrizkia
addr:street:prefix,North,addr:kalea:aurrizkia=Iparraldetik
addr:street:prefix,South,addr:kalea:aurrizkia=Hegoaldetik
addr:street:prefix,West,addr:kalea:aurrizkia=Mendebaldetik
addr:street:sym_ul,10898,helbidea: kalea: sym_ul=10898
addr:street:sym_ul,21970,helbidea:kalea:sym_ul = *
addr:street:type,Avenue,helbidea:kalea:mota = Etorbidea
addr:street:type,Place,addr:kalea:gunea=motakoa
addr:street:type,Street,addr:kalea:Kalea=motakoa
addr:streetnumber,1,helbidea:kalezenbakia=1
addr:streetnumber,9,helbidea:kale zenbakia = *
addr:streetnumber,10,helbidea:kalezenbakia=10
addr:subdistrict,*,helbidea:azpibarrutia = *
addr:subdistrict,Olaines pagasts,addr:subdistrict=Olaines paganoak
addr:subdistrict:en,*,dir:azpibarrutia:es = *
addr:subdistrict:en,Al Agamy,addr:subdistrict:en=Al Agamy
addr:suburb,*,helbidea:auzoa = *
addr:suburb,Centro,addr:suburb=Zentroa
addr:town,*,helbidea: hiria = *
addr:TW:dataset,120044,helbidea:TW:datumultzoa=120044
addr:TW:dataset,137998,helbidea:TW:datu-multzoa = *
addr:type,water,norabidea: mota = ura
addr:unit,1,helbidea:unitatea=1
addr:unit,*,helbidea: unitatea = *
addr:unit,A,helbidea:unitatea=Bat
addr:village,Gumare,helbidea: herria = Gumaré
addr:ward,Mbagala,helbidea: gela = Mbagala
addr:ward,Mbagala kuu,addr:ward=Mbagala kuu
addr:ward,Mbagala_kuu,helbidea: gela = Mbagala_kuu
addr.source:housenumber,survey,addr.source:etxe zenbakia = inkesta
addr.source:street,survey,helbidea.iturria:kalea = inkesta
admin_level,1,administratzaile maila = *
admin_level,2,admin_level=2
admin_level,aboriginal_land,administratzaile maila = jatorrizko lurra
admin_type:PH,barangay,admin_type:PH=barangay
advertising,billboard,publizitatea = kartel-panela
advertising,board,publizitatea = taula
advertising,column,publizitatea = zutabea
advertising,flag,publizitatea = bandera
advertising,funding_sign,publizitatea = finantzaketaren seinale
advertising,poster_box,publizitatea = poster_kutxa
advertising,screen,publizitatea = pantaila
advertising,sculpture,publizitatea = eskultura
advertising,sign,publizitatea = seinalea
advertising,tarp,publizitatea = pankarta
advertising,totem,publizitatea = totema
advertising,wall_painting,publizitatea = horma-irudi pintura
aerialway,cable_car,airez = funikularra
aerialway,canopy,airebide = pabiloi
aerialway,chair_lift,aireko bidez = aulki-igogailua
aerialway,drag_lift,aireko bidez = garraio-igogailua
aerialway,gondola,airebide = gondola
aerialway,goods,aireko garraioa = salgaiak
aerialway,j-bar,aire-bidea = j-barra
aerialway,magic_carpet,aireko bidaia = alfonbra magikoa
aerialway,mixed_lift,aireko igoera = igoera mistoa
aerialway,platter,aire-bidea = plaka
aerialway,pylon,airebide = pilono
aerialway,rope_tow,aireko = soka-atoian eramatea
aerialway,ropetow,aireko = soka-atoian eramatea
aerialway,station,airez = geltokia
aerialway,t-bar,aire-bidea = T-barra
aerialway,zip_line,airebide = tirolina
aerialway:drag_lift,j-bar,aire-bidea: arrastatze-igogailua = j-barra
aerialway:drag_lift,platter,aire bidez: arrastatze-igogailua = plaka
aerialway:drag_lift,t-bar,Arnasbidea: arrastatze-igogailua = T-barra
aerodrome:type,airfield,aerodromo:mota = aerodromo
aerodrome:type,gliding,aerodromoa: mota = planeatzen
aerodrome:type,international,aerodromoa: mota = nazioartekoa
aerodrome:type,military,aireportua:mota = militarra
aerodrome:type,private,aerodromoa: mota = pribatua
aerodrome:type,regional,aerodromoa: mota = eskualdekoa
aerospace:product,robot,aeroespaziala: produktua = robota
aerospace:product,rocket,aeroespaziala: produktua = suziria
aerospace:product,spacecraft_propulsion,aeroespaziala: produktua = espazio-ontziaren propultsioa
aeroway,aerodrome,airez = aerodromo
aeroway,aircraft_crossing,airez = hegazkinen zeharkaldia
aeroway,airport,aireko bidaia = aireportua
aeroway,airstrip,airebide = pista
aeroway,airtanker_base,airez = zisterna-hegazkinen basea
aeroway,apron,airebide = plataforma
aeroway,arresting_gear,aireko bidea = atxiloketa taldea
aeroway,fuel,airea = erregaia
aeroway,gate,aire bidez = atea
aeroway,gate/Archived_proposal,aire bidea = atea/artxibatutako proposamena
aeroway,hangar,airebide = hangar
aeroway,helipad,aireko bidaia = heliportua
aeroway,heliport,aireko bidaia = heliportua
aeroway,highway_strip,aire-bidea = errepide-zerrenda
aeroway,holding_position,airearen bidez = euste_posizioa
aeroway,holding_position_line,airez = eusteko posizio-lerroa
aeroway,jet_bridge,airebide = jet zubia
aeroway,landingpad,airebide = pista
aeroway,launch_complex,aireko jaurtiketa = jaurtiketa konplexua
aeroway,launchpad,airez = jaurtiketa plataforma
aeroway,marking,aireko bidaia = balorazioa
aeroway,navigationaid,airebidea = nabigazio laguntza
aeroway,papi,aire-bidea = aita
aeroway,parking_position,airearen bidez = aparkaleku_posizioa
aeroway,runway,airebide = pista
aeroway,spaceport,aire-ibilbidea = espazio-portua
aeroway,stopway,aireko bidaia = geldialdia
aeroway,taxilane,airez = Taxi Lane
aeroway,taxiway,airebide = taxibide
aeroway,terminal,aire = Terminala
aeroway,tower,airez = dorrea
aeroway,windsock,airez = haize-manga
age,mature,urte = heldua
age,semi-mature,urte = erdi-heldua
age,young,urte = gazte
agricultural,no,nekazaritza = ez
air_conditioning,no,aire girotua=bat ere ez
airmark,beacon,Aire-marka = Itsasargia
ale_supply,limited,garagardo eskaintza = mugatua
allotments,plot,zereginak = grafikoa
alt_name,Kentucky Fried Chicken,alt_Kentucky=izeneko Eremu Hotza
amenity,administration,zerbitzu/zerbitzua = administrazioa
amenity,advertising,Zerbitzua/erosotasuna = publizitatea
amenity,air_filling,erosotasuna/zerbitzua = aireztapena
amenity,alm,erosotasuna/zerbitzua = limosna
amenity,ambulance_station,Zerbitzua/Erosotasuna = Anbulantzia Geltokia
amenity,animal_boarding,erosotasuna/zerbitzua = maskoten_ostatua
amenity,animal_breeding,erosotasuna/zerbitzua = animalien hazkuntza
amenity,animal_effluent_disposal,Zerbitzua/Amenitatea = Animalien hondakin-hondakinen ezabaketa
amenity,animal_hitch,Zerbitzua/Erosotasuna = Animalien Alokairua
amenity,animal_shelter,erosotasuna/zerbitzua = animalien aterpea
amenity,animal_training,erosotasuna/zerbitzua = animalien entrenamendua
amenity,archive,zerbitzu/zerbitzu = fitxategia
amenity,arts_centre,erosotasuna/zerbitzua = arte_zentroa
amenity,artwork,Erosotasuna/zerbitzua = artelana
amenity,atm,Zerbitzua/Erosotasuna = Kutxazain automatikoa
amenity,audiologist,erosotasuna/zerbitzua = audiologoa
amenity,avalanche_transceiver,erosotasuna/zerbitzua = elur-jausien transzeptorea
amenity,baby_hatch,erosotasuna/zerbitzua = haurtxoentzako aterpea
amenity,baking_oven,erosotasuna/zerbitzua = sukaldaritza labea
amenity,bank,"Bankua gordailuak, maileguak, inbertsioak eta finantza aholkularitza bezalako zerbitzuak eskaintzen dituen finantza erakundea da | zerbitzu/zerbitzua = bankua"
amenity,bar,erosotasuna/zerbitzua = taberna
amenity,bbq,erosotasuna/zerbitzua = barbakoa
amenity,bear_box,erosotasuna/zerbitzua = hartz-kutxa
amenity,bench,erosotasuna/zerbitzua = eserlekua
amenity,bicycle_library,erosotasuna/zerbitzua = bizikleta liburutegia
amenity,bicycle_parking,Zerbitzua/Erosotasuna = Bizikleta-aparkalekua
amenity,bicycle_rental,erosotasuna/zerbitzua = bizikleta alokairua
amenity,bicycle_repair_station,erosotasuna/zerbitzua = bizikleta_konponketa_estazioa
amenity,bicycle_trailer_sharing,Zerbitzua/erosotasuna = bizikleta-atoia partekatzea
amenity,biergarten,erosotasuna/zerbitzua = garagardo lorategia
amenity,bike_parking,Zerbitzua/Erosotasuna = Bizikleta-aparkalekua
amenity,bikeshed,Zerbitzua/Erosotasuna = Bizikleta-aterpea
amenity,binoculars,erosotasuna/zerbitzua = prismatikoak
amenity,bird_bath,erosotasuna/zerbitzua = hegaztientzako bainuontzia
amenity,blood_bank,Zerbitzua/Erosotasuna = Odol Bankua
amenity,boat_rental,erosotasuna/zerbitzua = itsasontzi_alokairua
amenity,boat_sharing,erosotasuna/zerbitzua = partekatutako itsasontzia
amenity,boat_storage,erosotasuna/zerbitzua = biltegiratze_ontzia
amenity,body_scale,Erosotasuna/zerbitzua = gorputzaren eskala
amenity,brothel,erosotasuna/zerbitzua = putetxea
amenity,bts,Zerbitzua/Erosotasuna = BTS
amenity,buggy_parking,Zerbitzua/erosotasuna = Txartoientzako aparkalekua
amenity,building_yard,erosotasuna/zerbitzua = eraikuntza-patioa
amenity,bureau_de_change,Zerbitzua/erosotasuna = moneta-trukea
amenity,bus_station,Zerbitzua/Erosotasuna = Autobus Geltokia
amenity,bus_stop,Zerbitzua/Erosotasuna = Autobus Geltokia
amenity,cafe,"Kafetegia jatetxe txiki bat edo kafetegia da, otordu arinak, pintxoak, kafea eta bestelako edariak zerbitzatzen dituena | zerbitzu/zerbitzua = kafetegia"
amenity,canoe_hire,erosotasuna/zerbitzua = kanoa alokairua
amenity,canteen,erosotasuna/zerbitzua = jantokia
