key,value,definition
road_marking,no,=
road_marking,yes,=
bulk_purchase,yes,kopuru handitan = bai
abandoned,yes,Utzita = bai
abandoned:building,yes,Utzitakoa: eraikina = bai
dennert_fir_tree,yes,Dennert izeia = baldin eta
access,no,sarbidea = ez
access,yes,sarbidea = bai
internet_access,no,Interneterako sarbidea = ez
internet_access,yes,Interneterako sarbidea = bai
access:roof,no,sarbidea: teilatua = ez
access:delivery,no,sarbidea: entrega = ez
sidewalk,no,espaloia = ez
sidewalk:right,no,espaloia: eskuina = ez
sidewalk:left,no,espaloia: ezkerra = ez
overtaking,no,aurreratzea = ez
overtaking,yes,aurreratzea = bai
managed,no,administratua = ez
managed,yes,administratua = baldin eta
agricultural,no,nekazaritza = ez
agricultural,yes,nekazaritza = bai
water,yes,ura = baldin eta
drinking_water,no,edateko ura = ez
drinking_water,yes,edateko ura = bai
manhole,yes,zuloa = bai
air_conditioning,yes,aire girotua = bai
compressed_air,yes,aire konprimitua = bai
segregated,no,isolatuta = ez
segregated,yes,isolatuta = bai
highspeed,no,abiadura handia = ez
highspeed,yes,abiadura handia = bai
mooring,yes,amarratzea = bai
narrow,yes,estua = bai
animated,no,animatua = ez
anthropogenic,yes,antropogenikoa = baldin eta
trees,yes,zuhaitzak = baldin eta
area,no,eremua = ez
area,yes,eremua = bai
razed:building,yes,Suntsituta: eraikina = bai
craft,yes,eskulanak = baldin eta
man_made,yes,artifiziala = bai
artist:unknown,yes,artista: ezezaguna = baldin eta
toilets:access,yes,komunak: sarbidea = baldin eta
toilets:wheelchair,no,komunak: gurpil-aulkia = ez
toilets:wheelchair,yes,komunak: gurpil-aulkian sartzeko modukoa = bai
outdoor_seating,no,kanpoko eserlekuak = ez
outdoor_seating,yes,kanpoko eserlekuak = bai
indoor_seating,yes,barne_eserlekuak = bai
authentication:membership_card,yes,autentifikazioa: kide_txartela = bai
car,no,autoa = ez
car,yes,autoa = baldin eta
bus,no,autobusa = ez
bus,yes,"autobusa bai, autobusa bai"
automated,yes,automatizatua = baldin eta
motorcar,no,autoa = ez
motorcar,yes,autoa = bai
expressway,no,Autobidea = ez
highway,no,autobidea = ez
highway,yes,autobidea = baldin eta
expressway,yes,Autobidea = bai
authoritative,yes,autoritarioa = bai
self_service,no,autozerbitzua = ez
self_service,yes,autozerbitzua = bai
dual_carriageway,no,autobidea = ez
dual_carriageway,yes,autobidea = bai
on_demand,yes,Eskariaren arabera = baldin eta
toilets,no,bainugelak = ez
toilets,yes,bainugelak = bai
toilets:handwashing,no,bainugelak: eskuak garbitzea = ez
bbq,yes,barbakoa = baldin eta
fallow,yes,lugorri = baldin eta
boat,no,itsasontzia = ez
boat,yes,itsasontzia = bai
boat:rental,yes,itsasontzia: alokairua = baldin eta
barrier,no,oztopo = ez
barrier,yes,oztopoa = bai
bdouble,yes,bdoble = bai
drink:viez,yes,edan: viez = baldin eta
bicycle,no,bizikleta = ez
bicycle,yes,bizikleta = bai
mtb,no,mendiko bizikleta = ez
mtb,yes,mendiko bizikleta = bai
bicycle_road,yes,errepideko_bizikleta = bai
goods,no,ondasunak = ez
goods,yes,ondasunak = bai
