key,value,definition
*-tip/pista,guagua,*-tip/pista=guagua
4wd_only,recommended,4wd_only=consigliato
abandoned:amenity,prison,abbandonato:amenità=prigione
abandoned:amenity,prison_camp,abbandonato:amenità=campo_prigione
abandoned:highway,path,abbandonato:autostrada=sentiero
abandoned:highway,track,abbandonato:autostrada=binario
abandoned:landuse,landfill,abbandonato:uso del suolo=discarica
abandoned:landuse,quarry,abbandonato:uso del suolo=cava
abandoned:man_made,petroleum_well,abbandonato:artificiale=pozzo_petrolifero
abandoned:man_made,pipeline,abbandonato:artificiale=oleodotto
abandoned:place,hamlet,abbandonato:luogo=borgo
abandoned:railway,rail,abbandonato:ferrovia=ferrovia
abandoned:railway,station,stazione ferroviaria abbandonata
abutters,industrial,confinanti=industriali
abutters,mixed,confinanti=misti
abutters,residential,confinanti=residenziale
abutters,retail,confinanti=vendita al dettaglio
access,agricultural,accesso=agricolo
access,bdouble,accesso=bdouble
access,customers,accesso=clienti
access,delivery,accesso=consegna
access,designated,accesso=designato
access,destination,accesso=destinazione
access,discouraged,accesso=sconsigliato
access,dismount,accesso=smontaggio
access,employees,accesso=dipendenti
access,exclusion_zone,accesso=zona_esclusione
access,forestry,accesso=forestazione
access,licence,accesso=licenza
access,license,accesso=licenza
access,military,accesso=militare
access,no,accesso=no
access,official,accesso=ufficiale
access,permissive,accesso=permissivo
access,permit,accesso=permesso
access,private,accesso=privato
access,public,accesso=pubblico
access,residents,accesso=residenti
access,restricted,accesso=limitato
access,students,accesso=studenti
access,unknown,accesso=sconosciuto
access,use_sidepath,accesso=usa_percorso laterale
access,variable,accesso=variabile
access_control,full,access_control=full
access_control,partial,access_control=parziale
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,accesso:cittadinanza=двухбуквенный_код_страны_по_ISO-3166-1
access:delivery,no,accesso:consegna=no
access:roof,no,accesso:tetto=no
accuracy,10,precisione=10
accuracy:meters,10,precisione: metri=10
accuracy:meters,21,precisione: metri=21
accuracy:meters,22,precisione: metri=22
accuracy:meters,25,precisione: metri=25
accuracy:meters,26,precisione: metri=26
actuator,electric_motor,attuatore=motore_elettrico
actuator,hydraulic_cylinder,attuatore=cilindro_idraulico
actuator,manual,attuatore=manuale
actuator,pneumatic_cylinder,attuatore=cilindro_pneumatico
addr:block,*,indirizzo:blocco=*
addr:block_number,1,indirizzo:numero_blocco=1
addr:block_number,2,indirizzo:numero_blocco=2
addr:block_number,3,indirizzo:numero_blocco=3
addr:block:en,Block 1,addr:block:it=Blocco 1
addr:block:en,Block␣1,addr:block:it=Blocco ␣ 1
addr:city,'s-Gravenhage,addr:city='s-Gravenhage
addr:city,*,indirizzo:città=*
addr:city:ar,الــوادي,addr:city:ar= الــوادي
addr:city:de,Bozen,addr:city:de=Bozen
addr:city:en,10th of Rammadan City,addr:city:en=10 della città di Rammadan
addr:city:en,October␣Gardens␣City,addr:city:it=Ottobre ␣ Giardini ␣ Città
addr:city:it,Bolzano,addr:city:it=Bolzano
addr:city:simc,918123,indirizzo:città:simc=918123
addr:community,Nima,addr:community=Nima
addr:conscriptionnumber,1,indirizzo:numero di conscrizione=1
addr:conscriptionnumber,9,indirizzo:numero di conscrizione=9
addr:country,*,indirizzo:paese=*
addr:country,AE,indirizzo:paese=AE
addr:county,Stafford County,addr:county=Contea di Stafford
addr:county,Tuttlingen,addr:county=Tuttlingen
addr:county,Washington,indirizzo:contea=Washington
addr:county,Washoe,indirizzo:contea=Washoe
addr:district,*,indirizzo:distretto=*
