key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,key_ca,value_ca,key_es,value_es,number
4wd_only,recommended,4wd_only=recommended,,,,25165,,21,,25141,,3,,No,3,,,,,5706
4wd_only,yes,4wd_only=yes,,Només 4x4	=	sí,Sólo 4x4	=	sí,40087,,3502,,36578,,7,,Yes,3,Només 4x4,sí,Sólo 4x4,sí,13420
CLC:code,112,CLC:code=112,,velocitat màxima: endavant	=	*,CLC: código	=	*,36177,,10,,33667,,2500,0,No,,velocitat màxima: endavant,*,CLC: código,*,14856
CLC:code,211,CLC:code=211,,,,50690,,1,,46257,,4432,0,No,,,,,,3279
CLC:code,221,CLC:code=221,,,,17896,,,,17397,,499,,No,,,,,,7700
CLC:code,231,CLC:code=231,,,,60525,,,,55987,,4538,0,No,,,,,,2884
CLC:code,242,CLC:code=242,,,,10714,,,,10531,,183,,No,,,,,,12556
CLC:code,243,CLC:code=243,,,,12441,,,,12176,,265,,No,,,,,,10803
CLC:code,311,CLC:code=311,,,,49684,,1,,42752,,6931,0,No,,,,,,3329
CLC:code,312,CLC:code=312,,,,18359,,,,16065,,2294,0,No,,,,,,7538
CLC:code,313,CLC:code=313,,,,18654,,,,16342,,2312,0,No,,,,,,7425
CLC:explanation,See http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,CLC:explanation=See http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,,,,97355,,1,,94718,0,2636,0,No,,,,,,2005
CLC:explanation,See␣http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,,,CLC:explicació	=	Consulteu␣http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,CLC:explicación	=	Consulte␣http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,,,,,,,,,,,CLC:explicació,Consulteu␣http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,CLC:explicación,Consulte␣http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,14859
CLC:year,2006,CLC:year=2006,,,,316094,,12,,288303,0,27779,2,No,,,,,,784
FMMP_modified,no,FMMP_modified=no,,FMMP_modificat	=	no,FMMP_modificado	=	no,17440,,,,16727,,713,0,No,,FMMP_modificat,no,FMMP_modificado,no,15757
FMMP_reviewed,no,FMMP_reviewed=no,,FMMP_revisat	=	no,FMMP_revisado	=	no,17839,,,,17113,,726,0,No,,FMMP_revisat,no,FMMP_revisado,no,15758
GNS:dsg_code,PPL,GNS:dsg_code=PPL,,GNS: codi_dsg	=	LPP,GNS: código_dsg	=	LPP,126645,,126574,0,69,,2,,No,,GNS: codi_dsg,LPP,GNS: código_dsg,LPP,16011
GNS:dsg_code,WAD,GNS:dsg_code=WAD,,GNS: codi_dsg	=	TACO,GNS: código_dsg	=	TACO,11348,,8385,,2960,,3,,No,,GNS: codi_dsg,TACO,GNS: código_dsg,TACO,16012
GNS:dsg_name,populated place,GNS:dsg_name=populated place,,,,87841,,87814,0,27,,,,No,,,,,,2167
GNS:dsg_name,populated␣place,,,GNS:nom_dsg	=	lloc␣poblat,GNS:nombre_dsg	=	lugar␣poblado,,,,,,,,,,,GNS:nom_dsg,lloc␣poblat,GNS:nombre_dsg,lugar␣poblado,16013
GNS:dsg_name,wadi,GNS:dsg_name=wadi,,GNS:nom_dsg	=	llera,GNS:nombre_dsg	=	cauce,10348,,7503,,2842,,3,,No,,GNS:nom_dsg,llera,GNS:nombre_dsg,cauce,16014
GNS:dsg_string,populated place,GNS:dsg_string=populated place,,,,37151,,37110,0,40,,1,,No,,,,,,4162
GNS:dsg_string,populated␣place,,,GNS:cadena_dsg	=	lloc␣poblat,GNS:cadena_dsg	=	lugar␣poblado,,,,,,,,,,,GNS:cadena_dsg,lloc␣poblat,GNS:cadena_dsg,lugar␣poblado,16015
