key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,number
building,yes,building=yes,"A building is a permanent construction with a roof and walls, used for various purposes","Un edifici és una construcció permanent amb sostre i parets, utilitzat per a diversos propòsits","Un edificio es una construcción permanente con techo y paredes, utilizado para diversos propósitos",524808847,0.0463,305361,0.0011,523828637,0.4615,674849,0.0492,Yes,15,1
highway,residential,highway=residential,"A residential road is a street or road located within a residential area, designed for local traffic","Una carretera residencial és un carrer o carretera situat dins d'una zona residencial, dissenyat per al trànsit local","Una carretera residencial es una calle o carretera situada dentro de un área residencial, diseñada para tráfico local",68464215,6,250,0.0,68463875,0.0603,90,0.0,Yes,40,2
building,house,building=house,A house is a residential building designed for human habitation and living,Una casa és un edifici residencial dissenyat per a l'habitatge i vida humana,Una casa es un edificio residencial diseñado para habitación y vida humana,62909416,0.0056,262705,1,62540450,0.0551,106261,0.0077,Yes,13,3
highway,service,highway=service,"A service road provides access to buildings, facilities, and properties, often for delivery or maintenance","Un camí de servei proporciona accés a edificis, instal·lacions i propietats, sovint per a lliurament o manteniment","Un camino de servicio proporciona acceso a edificios, instalaciones y propiedades, a menudo para entrega o mantenimiento",61527547,0.0054,139,0.0,61523569,0.0542,3839,0.0003,Yes,35,4
surface,asphalt,surface=asphalt,"Asphalt is a sticky, black, highly viscous petroleum-based material commonly used for road surfaces",L'asfalt és un material viscós negre enganxós basat en petroli comunament utilitzat per a superfícies de carreteres,El asfalto es un material viscoso negro pegajoso basado en petróleo comúnmente utilizado para superficies de carreteras,33466269,3,132490,0.0005,33303899,0.0293,29880,0.0022,Yes,27,5
source,microsoft/BuildingFootprints,source=microsoft/BuildingFootprints,"Building footprint data sourced from Microsoft Building Footprints dataset, used for mapping building outlines","Dades d'empremta d'edifici obtingudes del conjunt de dades Microsoft Building Footprints, utilitzades per cartografiar contorns d'edificis","Datos de huella de edificio obtenidos del conjunto de datos Microsoft Building Footprints, utilizados para mapear contornos de edificios",30562748,0.0027,20856,0.0001,30540248,0.0269,1644,0.0001,No,0,6
natural,tree,natural=tree,"A tree is a perennial woody plant with a trunk, branches, and leaves that grows naturally in the environment","Un arbre és una planta llenyosa perenne amb tronc, branques i fulles que creix naturalment en el medi ambient","Un árbol es una planta leñosa perenne con tronco, ramas y hojas que crece naturalmente en el medio ambiente",30488906,0.0027,30488904,0.1116,0,0.0,2,0.0,Yes,28,7
highway,track,highway=track,"A track is a road or path, often unpaved, used for vehicular or pedestrian access in rural or off-road areas","Una pista és una carretera o camí, sovint sense pavimentar, utilitzat per a l'accés vehicular o de vianants en zones rurals o fora de carretera","Una pista es una carretera o camino, a menudo sin pavimentar, utilizado para acceso vehicular o peatonal en áreas rurales o todoterreno",28642300,0.0025,704,0.0,28641341,0.0252,255,0.0,Yes,32,8
highway,footway,highway=footway,"A footway is a path or walkway designated exclusively for pedestrian use, where vehicles are not allowed","Un camí per a vianants és un camí o passeig designat exclusivament per a l'ús de vianants, on els vehicles no estan permesos","Un camino peatonal es un camino o paseo designado exclusivamente para uso peatonal, donde los vehículos no están permitidos",28258682,0.0025,1781,0.0,28246525,0.0249,10376,0.0008,Yes,43,9
waterway,stream,waterway=stream,An OSM waterway tag with value 'stream' used to describe waterway features,Una etiqueta OSM waterway amb valor 'stream' utilitzada per descriure característiques waterway,Una etiqueta OSM waterway con valor 'stream' utilizada para describir características waterway,27734907,0.0024,5532,0.0,27657385,0.0244,71990,0.0052,Yes,26,10
source,NRCan-CanVec-10.0,source=NRCan-CanVec-10.0,An OSM source tag with value 'NRCan-CanVec-10.0' used to describe source features,Una etiqueta OSM source amb valor 'NRCan-CanVec-10.0' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'NRCan-CanVec-10.0' utilizada para describir características source,22234840,2,1258627,0.0046,20575367,0.0181,400846,0.0292,Yes,0,11
natural,water,natural=water,"A water body is any significant accumulation of water, such as a lake, river, stream, or ocean","Un cos d'aigua és qualsevol acumulació significativa d'aigua, com un llac, riu, rierol o oceà","Un cuerpo de agua es cualquier acumulación significativa de agua, como un lago, río, arroyo u océano",21575429,0.0019,23837,0.0001,20635924,0.0182,915668,0.0667,Yes,37,12
source,BAG,source=BAG,An OSM source tag with value 'BAG' used to describe source features,Una etiqueta OSM source amb valor 'BAG' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'BAG' utilizada para describir características source,21044848,0.0019,9702687,0.0355,11332142,0.01,10019,0.0007,Yes,1,13
building:levels,1,building:levels=1,An OSM building:levels tag with value '1' used to describe building:levels features,Una etiqueta OSM building:levels amb valor '1' utilitzada per descriure característiques building:levels,Una etiqueta OSM building:levels con valor '1' utilizada para describir características building:levels,19648183,0.0017,39191,0.0001,19548080,0.0172,60912,0.0044,No,3,14
