key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,key_ca,value_ca,key_es,value_es,number
FMMP_modified,no,FMMP_modified=no,,FMMP_modificat	=	no,FMMP_modificado	=	no,17440,,,,16727,,713,0,No,,FMMP_modificat,no,FMMP_modificado,no,15757
FMMP_reviewed,no,FMMP_reviewed=no,,FMMP_revisat	=	no,FMMP_revisado	=	no,17839,,,,17113,,726,0,No,,FMMP_revisat,no,FMMP_revisado,no,15758
LINZ:reviewed,no,LINZ:reviewed=no,,,,21872,,,,21872,,,,No,,,,,,6424
LandPro08:reviewed,no,LandPro08:reviewed=no,,LandPro08: revisat	=	no,LandPro08:revisado	=	no,19498,,,,19109,,389,,Yes,,LandPro08: revisat,no,LandPro08:revisado,no,16754
access,no,access=no,,accés	=	no,acceso	=	no,1057126,0,231074,0,823112,0,2940,0,Yes,49,accés,no,acceso,no,13438
access:delivery,no,access:delivery=no,,accés:lliurament	=	no,acceso:entrega	=	no,51870,,50551,0,1319,,,,No,,accés:lliurament,no,acceso:entrega,no,13462
access:roof,no,access:roof=no,,accés: sostre	=	no,acceso: techo	=	no,38415,,318,,37891,,206,,No,1,accés: sostre,no,acceso: techo,no,13463
agricultural,no,agricultural=no,,agrícola	=	no,agrícola	=	no,42421,,1278,,41132,,11,,No,4,agrícola,no,agrícola,no,13633
air_conditioning,no,air_conditioning=no,,,,16876,,12505,,4106,,265,,No,,,,,,8074
animated,no,animated=no,,animat	=	no,animado	=	no,36253,,34313,0,1938,,2,,No,5,animat,no,animado,no,13974
area,no,area=no,,àrea	=	no,área	=	no,26977,,171,,26682,,124,,Yes,4,àrea,no,área,no,13997
armrest,no,armrest=no,,,,98537,,95523,0,3011,,3,,No,8,,,,,1990
atm,no,,,Caixer automàtic	=	no,Cajero automático	=	no,,,,,,,,,,,Caixer automàtic,no,Cajero automático,no,14043
