key,value,definition
*-tip/pista,guagua,ALERTA:Si vols buscar guagua usa bus
4wd_only,recommended,
abandoned:amenity,prison,abandonat: amenitat/servei	=	presó
abandoned:amenity,prison_camp,abandonat: amenitat/servei	=	camp de presoners
abandoned:highway,path,"abandonat: carretera= sender , corriol"
abandoned:highway,track,"abandonat: carretera = pista , camí"
abandoned:landuse,landfill,abandonat: ús de la terra	=	abocador
abandoned:landuse,quarry,abandonat: ús de la terra	=	pedrera
abandoned:man_made,petroleum_well,abandonat:fet per lhome	=	pou_de_petroli
abandoned:man_made,pipeline,
abandoned:place,hamlet,
abandoned:railway,rail,abandonat: ferrocarril	=	carril
abandoned:railway,station,abandonat: ferrocarril	=	estació
abutters,industrial,confina amb	=	industrial
abutters,mixed,confina amb	=	barrejat
abutters,residential,confina amb	=	Residencial
abutters,retail,confina amb	=	venda minorista
access,agricultural,accés	=	agrícola
access,bdouble,accés	=	bdoble
access,customers,accés	=	clients
access,delivery,accés	=	entrega
access,designated,accés	=	designat
access,destination,accés	=	destinació
access,discouraged,accés	=	desanimat
access,dismount,accés	=	desmuntar
access,employees,accés	=	empleats
access,exclusion_zone,accés	=	Zona d'exclusió
access,forestry,accés	=	silvicultura
access,licence,accés	=	llicència
access,license,accés	=	llicència
access,military,
access,no,accés	=	no
access,official,accés	=	oficial
access,permissive,accés	=	permissiu
access,permit,accés	=	permís
access,private,accés	=	privat
access,public,accés	=	públic
access,residents,accés	=	residents
access,restricted,accés	=	restringit
access,students,accés	=	estudiants
access,unknown,accés	=	desconegut
access,use_sidepath,accés	=	utilitzar camí lateral
access,variable,accés	=	variable
access_control,full,
access_control,partial,
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,accés:ciutadania	=	двухбуквенный код страны ISO-3166-1
access:delivery,no,accés:lliurament	=	no
access:roof,no,accés: sostre	=	no
accuracy,10,nivell_administrador	=	*
accuracy:meters,10,precisió	=	*
accuracy:meters,21,edifici:ruian:tipus	=	*
accuracy:meters,22,precisió: metres	=	*
accuracy:meters,25,precisió: metres	=	*
accuracy:meters,26,precisió: metres	=	*
actuator,electric_motor,solenoide	=	motor elèctric
actuator,hydraulic_cylinder,solenoide	=	Cilindre hidràulic
actuator,manual,solenoide	=	manual
actuator,pneumatic_cylinder,solenoide	=	cilindre pneumàtic
addr:block,*,
addr:block_number,1,sostre:nivells	=	*
addr:block_number,2,
addr:block_number,3,
addr:block:en,Block 1,
addr:block:en,Block␣1,adreça: bloc:	=	Bloc␣1
addr:city,'s-Gravenhage,
addr:city,*,direcció: bloc	=	*
addr:city:ar,الــوادي,
addr:city:de,Bozen,
addr:city:en,10th of Rammadan City,
addr:city:en,October␣Gardens␣City,direcció:ciutat:ca	=	Octubre␣Jardins␣Ciutat
addr:city:it,Bolzano,direcció:ciutat:it	=	Bolzano
addr:city:simc,918123,
addr:community,Nima,direcció:comunitat	=	nima
addr:conscriptionnumber,1,
addr:conscriptionnumber,9,comptador_de_passos	=	*
addr:country,*,direcció:ciutat	=	*
addr:country,AE,
addr:county,Stafford County,
addr:county,Tuttlingen,adreça: comtat	=	Tuttlingen
addr:county,Washington,
addr:county,Washoe,
addr:district,*,direcció: país	=	*
addr:district,26 de Octubre,
addr:district,龜山區,
addr:district:en,Al Agouza,
addr:district:en,Western␣Al␣Omraneya,adreça:districte:ca	=	Occidental␣Al␣Omraneia
addr:division,Kawempe,direcció:divisió	=	Kawempe
addr:division,Rajshahi,
addr:flats,1-2,adreça: pisos	=	*
addr:flats,1-20,
addr:flats,1-3,
addr:flats,1-4,
addr:flats,A;B,
addr:floor,0,
addr:floor,Floor␣1,adreça:pis	=	Pis␣1
addr:floor,Floor␣2,adreça:pis	=	Pis␣2
addr:hamlet,*,adreça:pis	=	*
addr:hamlet,三和里,
addr:housenumber,0,
addr:inclusion,actual,direcció: inclusió	=	actual
addr:inclusion,estimate,direcció: inclusió	=	estimar
addr:inclusion,potential,direcció: inclusió	=	potencial
addr:interpolation,all,direcció:interpolació	=	tots
addr:interpolation,even,direcció:interpolació	=	fins i tot
addr:interpolation,odd,direcció:interpolació	=	estrany
addr:municipality,Aabenraa,
addr:municipality,Vordingborg,direcció: municipi	=	Vordingborg
addr:neighbourhood,1,
addr:neighbourhood,*,adreça: número de casa	=	*
addr:place,*,direcció: barri	=	*
addr:place,المجاورة 1,
addr:place:en,Area A,
addr:postcode,100,
addr:postcode,*,adreça:lloc	=	*
addr:postcode,05-092,
addr:postcode:source,*,adreça: codi postal	=	*
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",
addr:province,*,adreça: codi postal: font	=	*
addr:province,AB,
addr:province:en,*,direcció: província	=	*
addr:province:en,Al Beheira,
addr:region,*,adreça:província:ca	=	*
addr:region,Farg'ona Viloyati,
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,
addr:source,NRW-Atlas,
addr:state,*,direcció: regió	=	*
addr:state,AK,
addr:street,*,direcció: estat	=	*
addr:street,1 Maja,
addr:street,民生路,
addr:street:en,Omar Ibn Al Khatab Street,
addr:street:en,Street 1,
addr:street:en,Street 2,
addr:street:en,Street 3,
addr:street:prefix,East,
addr:street:prefix,North,
addr:street:prefix,South,
addr:street:prefix,West,
addr:street:sym_ul,10898,
addr:street:sym_ul,21970,
addr:street:type,Avenue,adreça:carrer:tipus	=	Avinguda
addr:street:type,Place,
addr:street:type,Street,
addr:streetnumber,1,
addr:streetnumber,9,adreça: número de conscripció	=	*
addr:streetnumber,10,
addr:subdistrict,*,direcció: carrer	=	*
addr:subdistrict,Olaines pagasts,
addr:subdistrict:en,*,direcció:subdistricte	=	*
addr:subdistrict:en,Al Agamy,
addr:suburb,*,dir:subdistricte:ca	=	*
addr:suburb,Centro,
addr:town,*,direcció:suburbi	=	*
addr:TW:dataset,120044,
addr:TW:dataset,137998,ngbe: codi	=	*
addr:type,water,adreça: tipus	=	aigua
addr:unit,1,
addr:unit,*,adreça: ciutat	=	*
addr:unit,A,
addr:village,Gumare,adreça:poble	=	Gumaré
addr:ward,Mbagala,adreça: sala	=	Mbagala
addr:ward,Mbagala kuu,
addr:ward,Mbagala␣kuu,adreça: sala	=	Mbagala␣kuu
addr.source:housenumber,survey,addr.source:nombre de casa	=	enquesta
addr.source:street,survey,direcció.font:carrer	=	enquesta
admin_level,1,nivell d'administrador	=	*
admin_level,2,
admin_level,aboriginal_land,nivell d'administrador	=	terra aborigen
admin_type:PH,barangay,
advertising,billboard,publicitat	=	cartellera
advertising,board,publicitat	=	junta
advertising,column,publicitat	=	columna
advertising,flag,publicitat	=	bandera
advertising,funding_sign,publicitat	=	senyal de finançament
advertising,poster_box,publicitat	=	poster_box
advertising,screen,publicitat	=	pantalla
advertising,sculpture,publicitat	=	escultura
advertising,sign,publicitat	=	signe
advertising,tarp,publicitat	=	lona
advertising,totem,publicitat	=	tòtem
advertising,wall_painting,publicitat	=	pintura mural
aerialway,cable_car,via aèria	=	Telefèric
aerialway,canopy,via aèria	=	pavelló
aerialway,chair_lift,via aèria	=	telecadira
aerialway,drag_lift,via aèria	=	ascensor d'arrossegament
aerialway,gondola,via aèria	=	góndola
aerialway,goods,via aèria	=	béns
aerialway,j-bar,via aèria	=	j-barra
aerialway,magic_carpet,via aèria	=	catifa màgica
aerialway,mixed_lift,via aèria	=	aixecament mixt
aerialway,platter,via aèria	=	plat
aerialway,pylon,via aèria	=	piló
aerialway,rope_tow,via aèria	=	remolc de corda
aerialway,ropetow,via aèria	=	remolc de corda
aerialway,station,via aèria	=	estació
aerialway,t-bar,via aèria	=	barra a T
aerialway,zip_line,via aèria	=	tirolesa
aerialway:drag_lift,j-bar,via aèria: elevador d'arrossegament	=	j-barra
aerialway:drag_lift,platter,via aèria: elevador d'arrossegament	=	plat
aerialway:drag_lift,t-bar,via aèria: elevador d'arrossegament	=	barra a T
aerodrome:type,airfield,aeròdrom: tipus	=	aeròdrom
aerodrome:type,gliding,aeròdrom: tipus	=	lliscant
aerodrome:type,international,aeròdrom: tipus	=	internacional
aerodrome:type,military,aeròdrom: tipus	=	militar
aerodrome:type,private,aeròdrom: tipus	=	privat
aerodrome:type,regional,aeròdrom: tipus	=	regional
aerospace:product,robot,aeroespacial: producte	=	robot
aerospace:product,rocket,aeroespacial: producte	=	coet
aerospace:product,spacecraft_propulsion,aeroespacial: producte	=	propulsió de naus espacials
aeroway,aerodrome,via aèria	=	aeròdrom
aeroway,aircraft_crossing,via aèria	=	encreuament d'avions
aeroway,airport,via aèria	=	aeroport
aeroway,airstrip,via aèria	=	pista d'aterratge
aeroway,airtanker_base,via aèria	=	base d'avió cisterna
aeroway,apron,via aèria	=	davantal
aeroway,arresting_gear,via aèria	=	equip d'arrest
aeroway,fuel,via aèria	=	combustible
aeroway,gate,via aèria	=	porta
aeroway,gate/Archived_proposal,via aèria	=	porta/proposta arxivada
aeroway,hangar,via aèria	=	hangar
aeroway,helipad,via aèria	=	heliport
aeroway,heliport,via aèria	=	heliport
aeroway,highway_strip,via aèria	=	franja de carretera
aeroway,holding_position,via aèria	=	holding_position
aeroway,holding_position_line,via aèria	=	línia de posició d'espera
aeroway,jet_bridge,via aèria	=	pont de raig
aeroway,landingpad,via aèria	=	pista d'aterratge
aeroway,launch_complex,via aèria	=	complex de llançament
aeroway,launchpad,via aèria	=	plataforma de llançament
aeroway,marking,via aèria	=	qualificació
aeroway,navigationaid,via aèria	=	Ajuda a la navegació
aeroway,papi,via aèria	=	papi
aeroway,parking_position,via aèria	=	estacionament_posició
aeroway,runway,via aèria	=	pista
aeroway,spaceport,via aèria	=	port espacial
aeroway,stopway,via aèria	=	parada
aeroway,taxilane,via aèria	=	Carril de Taxi
aeroway,taxiway,via aèria	=	carrer de rodatge
aeroway,terminal,via aèria	=	Terminal
aeroway,tower,via aèria	=	torre
aeroway,windsock,via aèria	=	màniga de vent
age,mature,anys	=	madur
age,semi-mature,anys	=	semi-madur
age,young,anys	=	jove
agricultural,no,agrícola	=	no
air_conditioning,no,
airmark,beacon,marca aèria	=	Far
ale_supply,limited,subministrament de cervesa	=	limitat
allotments,plot,assignacions	=	gràfic
alt_name,Kentucky Fried Chicken,
amenity,administration,amenitat/servei	=	administració
amenity,advertising,amenitat/servei	=	publicitat
amenity,air_filling,amenitat/servei	=	omplert d'aire
amenity,alm,amenitat/servei	=	almoina
amenity,ambulance_station,amenitat/servei	=	estació d'ambulància
amenity,animal_boarding,amenitat/servei	=	allotjament_d'animals
amenity,animal_breeding,amenitat/servei	=	cria_d'animals
amenity,animal_effluent_disposal,amenitat/servei	=	eliminació d'efluents animals
amenity,animal_hitch,amenitat/servei	=	enganxi d'animals
amenity,animal_shelter,amenitat/servei	=	refugi d'animals
amenity,animal_training,amenitat/servei	=	entrenament d'animals
amenity,archive,amenitat/servei	=	arxiu
amenity,arts_centre,amenitat/servei	=	centre_de_les_arts
amenity,artwork,amenitat/servei	=	obra d'art
amenity,atm,amenitat/servei	=	Caixer automàtic
amenity,audiologist,amenitat/servei	=	audiòleg
amenity,avalanche_transceiver,amenitat/servei	=	transceptor d'allau
amenity,baby_hatch,amenitat/servei	=	escotilla de beu
amenity,baking_oven,amenitat/servei	=	forn de cocció
amenity,bank,"Un banc és una institució financera que proporciona serveis com dipòsits, préstecs, inversions i assessorament financer | amenitat/servei	=	banc"
amenity,bar,amenitat/servei	=	bar
amenity,bbq,amenitat/servei	=	barbacoa
amenity,bear_box,amenitat/servei	=	caixa d'ós
amenity,bench,amenitat/servei = banc per seure’s
amenity,bicycle_library,amenitat/servei	=	biblioteca de bicicletes
amenity,bicycle_parking,amenitat/servei	=	Pàrquing de bicicletes
amenity,bicycle_rental,amenitat/servei	=	lloguer de bicicletes
amenity,bicycle_repair_station,amenitat/servei	=	estació_de_reparació_de_bicicletes
amenity,bicycle_trailer_sharing,amenitat/servei	=	compartir remolc de bicicleta
amenity,biergarten,amenitat/servei	=	biergarten
amenity,bike_parking,amenitat/servei	=	estacionament de bicicletes
amenity,bikeshed,amenitat/servei	=	cobert per a bicicletes
amenity,binoculars,amenitat/servei	=	prismàtics
amenity,bird_bath,amenitat/servei	=	bany d'ocells
amenity,blood_bank,amenitat/servei	=	Banc de Sang
amenity,boat_rental,amenitat/servei	=	lloguer_de_vaixells
amenity,boat_sharing,amenitat/servei	=	vaixell compartit
amenity,boat_storage,amenitat/servei	=	vaixell_emmagatzematge
amenity,body_scale,amenitat/servei	=	bàscula corporal
amenity,brothel,amenitat/servei	=	bordell
amenity,bts,amenitat/servei	=	BTS
amenity,buggy_parking,amenitat/servei	=	estacionament de buggy
amenity,building_yard,amenitat/servei	=	pati de construcció
amenity,bureau_de_change,amenitat/servei	=	canvi de moneda
amenity,bus_station,amenitat/servei	=	estació d'autobusos
amenity,bus_stop,amenitat/servei	=	parada d'autobús
amenity,cafe,"Un cafè és un petit restaurant o cafeteria que serveix àpats lleugers, aperitius, cafè i altres begudes | amenitat/servei	=	cafeteria"
amenity,canoe_hire,amenitat/servei	=	lloguer de canoes
amenity,canteen,amenitat/servei	=	cantina
amenity,car_pooling,amenitat/servei	=	cotxe_compartit
amenity,car_rental,amenitat/servei	=	lloguer de cotxes
amenity,car_repair,amenitat/servei	=	reparació de cotxes
amenity,car_sharing,amenitat/servei	=	auto compartit
amenity,car_wash,amenitat/servei	=	rentat de cotxes
amenity,carpet_washing,amenitat/servei	=	rentat de catifes
amenity,carwash,amenitat/servei	=	rentat de cotxes
amenity,casino,amenitat/servei	=	casino
amenity,chair,amenitat/servei	=	cadira
amenity,changing_room,amenitat/servei	=	vestuari
amenity,charging_station,amenitat/servei	=	Estació de càrrega
amenity,charging_station/Tesla_Motors,amenitat/servei	=	estació de càrrega/Tesla Motors
amenity,checkpoint,amenitat/servei	=	control
amenity,childcare,amenitat/servei	=	cura de nens
amenity,cinema,amenitat/servei	=	cinema
amenity,citymap_post,amenitat/servei	=	publicació del mapa de la ciutat
amenity,clinic,amenitat/servei	=	clínica
amenity,cloakroom,amenitat/servei	=	guarda-roba
amenity,clock,amenitat/servei	=	rellotge
amenity,clothes_dryer,amenitat/servei	=	assecadora de roba
amenity,club,amenitat/servei	=	club
amenity,clubhouse,amenitat/servei	=	casa club
amenity,coast_guard,amenitat/servei	=	guardacostes
amenity,coast_radar_station,amenitat/servei	=	estació de radar costanera
amenity,college,amenitat/servei	=	col·lega
amenity,community_centre,amenitat/servei	=	centre Comunitari
amenity,compressed_air,amenitat/servei	=	aire comprimit
amenity,concert_hall,amenitat/servei	=	sala de concerts
amenity,concession_stand,amenitat/servei	=	lloc de menjar
amenity,conference_centre,amenitat/servei	=	centre de conferències
amenity,consulate,amenitat/servei	=	consolat
amenity,convention_centre,amenitat/servei	=	Centre de convenció
amenity,courier,amenitat/servei	=	missatger
amenity,courthouse,amenitat/servei	=	palau de justícia
amenity,coworking_space,amenitat/servei	=	espai de treball conjunt
amenity,crematorium,amenitat/servei	=	crematori
amenity,crematory,amenitat/servei	=	crematori
amenity,crucifix,amenitat/servei	=	crucifix
amenity,crypt,amenitat/servei	=	cripta
amenity,culture_center,amenitat/servei	=	Centre cultural
amenity,customs,amenitat/servei	=	duanes
amenity,dancing_school,amenitat/servei	=	escola de ball
amenity,dead_pub,amenitat/servei	=	taverna morta
amenity,dentist,amenitat/servei	=	dentista
amenity,device_charging_station,amenitat/servei	=	estació de càrrega de dispositius
amenity,disused,amenitat/servei	=	en desús
amenity,dive_centre,amenitat/servei	=	centre_de_busseig
amenity,doctor,amenitat/servei	=	metge
amenity,doctors,amenitat/servei	=	metges
amenity,dog_bin,amenitat/servei	=	paperera per a gossos
amenity,dog_parking,amenitat/servei	=	estacionament per a gossos
amenity,dog_toilet,amenitat/servei	=	vàter per a gossos
amenity,dog_waste_bin,amenitat/servei	=	cub d'escombraries per a gossos
amenity,dojo,amenitat/servei	=	dojo
amenity,donation,amenitat/servei	=	donació
amenity,dormitory,amenitat/servei	=	dormitori
amenity,dressing_room,amenitat/servei	=	Vestidor
amenity,drinking_water,amenitat/servei	=	aigua potable
amenity,driver_training,amenitat/servei	=	entrenament_del_conductor
amenity,driver_training_area,amenitat/servei	=	zona de formació de conductors
amenity,driving_school,amenitat/servei	=	autoescola
amenity,dryer,amenitat/servei	=	assecadora
amenity,education,amenitat/servei	=	educació
amenity,embassy,amenitat/servei	=	ambaixada
amenity,emergency_phone,amenitat/servei	=	Telèfon d'emergència
amenity,emergency_service,amenitat/servei	=	servei d'emergència
amenity,ev_charging,amenitat/servei	=	càrrega ev
amenity,events_centre,amenitat/servei	=	centre d'esdeveniments
amenity,events_venue,amenitat/servei	=	esdeveniments_lloc
amenity,exercise_point,amenitat/servei	=	punt d'exercici
amenity,exhibition_centre,amenitat/servei	=	centre d'exposicions
amenity,fab_lab,amenitat/servei	=	laboratori fabulós
amenity,fast_food,amenitat/servei	=	menjar ràpid
amenity,feeding_place,amenitat/servei	=	lloc_d'alimentació
amenity,ferry_terminal,amenitat/servei	=	terminal del ferri
amenity,festival_grounds,amenitat/servei	=	terrenys del festival
amenity,financial_advice,amenitat/servei	=	assessoria financera
amenity,fire_hydrant,amenitat/servei	=	boca d'incendi
amenity,fire_station,amenitat/servei	=	estació de bombers
amenity,first_aid,amenitat/servei	=	primers auxilis
amenity,firstaid,amenitat/servei	=	primers auxilis
amenity,fish_spa,amenitat/servei	=	balneari de peix
amenity,fitness_station,amenitat/servei	=	estació de fitness
amenity,flight_school,amenitat/servei	=	escola de vol
amenity,food_court,amenitat/servei	=	zona de menjars
amenity,food_sharing,amenitat/servei	=	compartir menjar
amenity,foot_shower,amenitat/servei	=	dutxa de peus
amenity,fountain,amenitat/servei	=	font
amenity,freeshop,amenitat/servei	=	compra gratis
amenity,fridge,amenitat/servei	=	nevera
amenity,fuel,amenitat/servei	=	combustible
amenity,funeral_hall,amenitat/servei	=	saló_funerari
amenity,gambling,amenitat/servei	=	joc
amenity,game_feeding,amenitat/servei	=	joc_alimentacio
amenity,garages,amenitat/servei	=	garatges
amenity,give_box,amenitat/servei	=	donar caixa
amenity,grave_yard,amenitat/servei	=	cementiri
amenity,grit_bin,amenitat/servei	=	grit_bin
amenity,gym,amenitat/servei	=	gimnàstica
amenity,gym_(Don't_use),amenitat/servei	=	gimnàs (no fer servir)
amenity,health_post,amenitat/servei	=	lloc_de_salut
amenity,hitching_post,amenitat/servei	=	pal d'enganxament
amenity,hookah_lounge,amenitat/servei	=	saló_de_la_cachimba
amenity,horse_parking,amenitat/servei	=	estacionament de cavalls
amenity,hospice,amenitat/servei	=	hospici
amenity,hospital,"Un hospital és una instal·lació mèdica que proporciona atenció sanitària integral, tractament d'emergències i serveis mèdics especialitzats | amenitat/servei	=	hospital"
tourism,hotel,turisme = hotel
amenity,hunting_stand,amenitat/servei	=	lloc_de_caça
amenity,hydrant,amenitat/servei	=	boca d'aigües
amenity,ice_cream,amenitat/servei	=	gelat
amenity,internet_cafe,amenitat/servei	=	Cafè internet
amenity,jobcentre,amenitat/servei	=	centre de treball
amenity,juice_bar,amenitat/servei	=	Bar de sucs
amenity,karaoke_box,amenitat/servei	=	caja_karaoke
amenity,kick-scooter_rental,amenitat/servei	=	lloguer de patinets
amenity,kindergarten,amenitat/servei	=	escola bressol
amenity,kiosk,amenitat/servei	=	quiosc
amenity,kitchen,amenitat/servei	=	cuina
amenity,kneipp_water_cure,amenitat/servei	=	kneipp_water_cure
amenity,Kneippbecken,amenitat/servei	=	Kneippbecken
amenity,language_school,amenitat/servei	=	escola d'idiomes
amenity,lavoir,amenitat/servei	=	rentar
amenity,letter_box,amenitat/servei	=	bústia
amenity,library,amenitat/servei	=	biblioteca
amenity,library_dropoff,amenitat/servei	=	entrega de la biblioteca
amenity,life_ring,amenitat/servei	=	anell de vida
amenity,lifeboat_station,amenitat/servei	=	estació de pots salvavides
amenity,loading_dock,amenitat/servei	=	moll_de_càrrega
amenity,locker,amenitat/servei	=	armari
amenity,lost_property_office,amenitat/servei	=	oficina d'objectes perduts
amenity,lounger,amenitat/servei	=	faragan
amenity,love_hotel,"amenitat/servei = Casa de cites , habitacions per hores"
amenity,luggage_locker,amenitat/servei	=	caseller d'equipatge
amenity,mailroom,amenitat/servei	=	sala de correu
amenity,marae,amenitat/servei	=	marae
amenity,marketplace,amenitat/servei	=	mercat
amenity,meditation_centre,amenitat/servei	=	centre de meditació
amenity,microwave,amenitat/servei	=	microona
amenity,milk_dispenser,amenitat/servei	=	dispensador de llet
amenity,mist_spraying_cooler,amenitat/servei	=	refredador de polvorització de boira
amenity,mobile_library,amenitat/servei	=	biblioteca mòbil
amenity,mobile_money_agent,amenitat/servei	=	agent_diners_movil
amenity,monastery,amenitat/servei	=	monestir
amenity,money_transfer,amenitat/servei	=	transferència de diners
amenity,mortuary,amenitat/servei	=	mortuori
amenity,motorcycle_parking,amenitat/servei	=	moto_estacionament
amenity,motorcycle_rental,amenitat/servei	=	lloguer de motos
amenity,motorcycle_taxi,amenitat/servei	=	mototaxi
amenity,mtb_school,amenitat/servei	=	escola mtb
amenity,music_school,amenitat/servei	=	escola de Musica
amenity,music_venue,amenitat/servei	=	lloc de música
amenity,nightclub,amenitat/servei	=	Club nocturn discoteca
amenity,nursery,amenitat/servei	=	guarderia
amenity,nursing_home,amenitat/servei	=	asil_de_ancians
amenity,office,amenitat/servei	=	oficina
amenity,osmica,amenitat/servei	=	osmica
amenity,outfitter,amenitat/servei	=	camiser
amenity,parcel_locker,amenitat/servei	=	paquet_caseller
amenity,parcel_lockers,amenitat/servei	=	casellers per a paquets
amenity,parcel_postbox,amenitat/servei	=	bústia de paquets
amenity,park,amenitat/servei	=	parc
amenity,parking,"Una instal·lació d'aparcament proporciona espais designats perquè els vehicles s'aparcin, ja sigui per ús a curt o llarg termini | amenitat/servei	=	estacionament"
amenity,parking_entrance,amenitat/servei	=	estacionament_entrada
amenity,parking_space,amenitat/servei	=	plaça d'aparcament
amenity,parkink,amenitat/servei	=	parc
amenity,payment_centre,amenitat/servei	=	centre_de_pagament
amenity,payment_terminal,amenitat/servei	=	terminal_de_pagament
amenity,pharmacy,Una farmàcia és una instal·lació sanitària on es dispenseu medicaments i s'ofereix assessorament farmacèutic | amenitat/servei	=	farmàcia
amenity,photo_booth,amenitat/servei	=	cabina de fotos
amenity,piano,amenitat/servei	=	piano
amenity,place_of_mourning,amenitat/servei	=	lloc de dol
amenity,place_of_worship,amenitat/servei	=	lloc d'adoració
amenity,planetarium,amenitat/servei	=	planetari
amenity,po_box,amenitat/servei	=	apartat de correus
amenity,police,amenitat/servei	=	policia
amenity,polling_station,amenitat/servei	=	centre electoral
amenity,post_box,amenitat/servei	=	bústia
amenity,post_depot,amenitat/servei	=	post_depot
amenity,post_office,amenitat/servei	=	oficina de correus
amenity,prep_school,amenitat/servei	=	preparatòria
amenity,preschool,amenitat/servei	=	preescolar
amenity,printer,amenitat/servei	=	impressora
amenity,prison,amenitat/servei	=	presó
