key,value,definition
*-tip/pista,guagua,ALERTA:Si quieres buscar guagua usa bus
4wd_only,recommended,
abandoned:amenity,prison,abandonado: amenidad/servicio	=	prisión
abandoned:amenity,prison_camp,abandonado: amenidad/servicio	=	campo de prisioneros
abandoned:highway,path,
abandoned:highway,track,abandonado:carretera	=	pista
abandoned:landuse,landfill,abandonado: uso de la tierra	=	vertedero
abandoned:landuse,quarry,abandonado: uso de la tierra	=	cantera
abandoned:man_made,petroleum_well,abandonado:hecho por el hombre	=	pozo_de_petroleo
abandoned:man_made,pipeline,
abandoned:place,hamlet,
abandoned:railway,rail,abandonado:ferrocarril	=	carril
abandoned:railway,station,abandonado:ferrocarril	=	estación
abutters,industrial,colinda con	=	industrial
abutters,mixed,colinda con	=	mezclado
abutters,residential,colinda con	=	Residencial
abutters,retail,colinda con	=	venta minorista
access,agricultural,acceso	=	agrícola
access,bdouble,acceso	=	bdoble
access,customers,acceso	=	clientes
access,delivery,acceso	=	entrega
access,designated,acceso	=	designado
access,destination,acceso	=	destino
access,discouraged,acceso	=	desanimado
access,dismount,acceso	=	desmontar
access,employees,acceso	=	empleados
access,exclusion_zone,acceso	=	Zona de exclusión
access,forestry,acceso	=	silvicultura
access,licence,acceso	=	licencia
access,license,acceso	=	licencia
access,military,
access,no,acceso	=	no
access,official,acceso	=	oficial
access,permissive,acceso	=	permisivo
access,permit,acceso	=	permiso
access,private,acceso	=	privado
access,public,acceso	=	público
access,residents,acceso	=	residentes
access,restricted,acceso	=	restringido
access,students,acceso	=	estudiantes
access,unknown,acceso	=	desconocido
access,use_sidepath,acceso	=	usar camino lateral
access,variable,acceso	=	variable
access_control,full,
access_control,partial,
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,acceso:ciudadanía	=	двухбуквенный код страны по ISO-3166-1
access:delivery,no,acceso:entrega	=	no
access:roof,no,acceso: techo	=	no
accuracy,10,precisión	=	*
accuracy:meters,10,precisión: metros	=	*
accuracy:meters,21,precisión: metros	=	*
accuracy:meters,22,precisión: metros	=	*
accuracy:meters,25,precisión: metros	=	*
accuracy:meters,26,precisión: metros	=	*
actuator,electric_motor,solenoide	=	motor eléctrico
actuator,hydraulic_cylinder,solenoide	=	Cilindro hidráulico
actuator,manual,solenoide	=	manual
actuator,pneumatic_cylinder,solenoide	=	cilindro neumático
addr:block,*,dirección: bloque	=	*
addr:block_number,1,dirección:número_de_bloque	=	*
addr:block_number,2,
addr:block_number,3,
addr:block:en,Block 1,
addr:block:en,Block␣1,dirección:bloque:es	=	Bloque␣1
addr:city,'s-Gravenhage,
addr:city,*,dirección:ciudad	=	*
addr:city:ar,الــوادي,
addr:city:de,Bozen,
addr:city:en,10th of Rammadan City,
addr:city:en,October␣Gardens␣City,dirección:ciudad:es	=	Octubre␣Jardines␣Ciudad
addr:city:it,Bolzano,dirección:ciudad:it	=	Bolzano
addr:city:simc,918123,
addr:community,Nima,dirección:comunidad	=	nima
addr:conscriptionnumber,1,
addr:conscriptionnumber,9,dirección: número de conscripción	=	*
addr:country,*,dirección: país	=	*
addr:country,AE,
addr:county,Stafford County,
addr:county,Tuttlingen,dirección: condado	=	Tuttlingen
addr:county,Washington,
addr:county,Washoe,
addr:district,*,dirección: distrito	=	*
addr:district,26 de Octubre,
addr:district,龜山區,
addr:district:en,Al Agouza,
addr:district:en,Western␣Al␣Omraneya,dirección:distrito:es	=	Occidental␣Al␣Omraneya
addr:division,Kawempe,dirección:división	=	Kawempe
addr:division,Rajshahi,
addr:flats,1-2,dirección: pisos	=	*
addr:flats,1-20,
addr:flats,1-3,
addr:flats,1-4,
addr:flats,A;B,
addr:floor,0,
addr:floor,Floor␣1,dirección:piso	=	Piso␣1
addr:floor,Floor␣2,dirección:piso	=	Piso␣2
addr:hamlet,*,dirección: aldea	=	*
addr:hamlet,三和里,
addr:housenumber,0,
